Date,Mkt-RF,LME,BEME,OP,Investment,r12_2,ST_REV,LT_REV,AC,IdioVol,Lturnover,rf
196401,0.0224,-0.003781365,-0.009857512,0.009538687,-0.000600932,-0.005117294,-0.004206691,-0.001146475,0.011923924,0.017227592,0.015843847,0.003
196402,0.0154,-0.005027638,-0.023682152,0.000253875,0.013209688,0.001021372,0.010272722,0.010602827,0.007740764,0.00556078,-0.007714447,0.0026
196403,0.0141,0.016092256,-0.035996042,0.020123861,0.028429797,-0.003107041,0.00959061,0.036729097,0.010111534,0.012941353,-0.000678359,0.0031
196404,0.001,-0.015634473,-0.003827876,0.01533546,-0.022581087,-0.00054823,0.024945209,-0.023977582,-0.00573602,0.017749707,0.039062634,0.0029
196405,0.0142,-0.009639829,-0.010315896,0.005048727,0.010343023,-0.023131142,-0.019362736,-0.001543985,0.002381496,0.003582313,-0.000818982,0.0026
196406,0.0127,0.003039458,0.000637439,-0.005442924,-0.008844394,-0.007518029,0.00607069,-0.007474408,-0.006284405,0.025535186,-0.006845896,0.003
196407,0.0174,0.007347187,-0.00539711,-0.001504542,0.013716264,0.002633333,0.021618988,0.000863592,0.004775611,0.011282483,-0.001851,0.003
196408,-0.0144,0.009435769,0.00190373,-0.001185426,-0.000905254,-0.000464787,-0.000970841,-0.008355976,0.017368687,0.018965607,0.006781261,0.0028
196409,0.0269,-0.003538379,-0.004075192,0.010529128,0.003691287,-0.002899053,0.007591137,0.035147914,-0.012105527,-0.018571584,-0.025332274,0.0028
196410,0.0059,0.013057888,-0.008026518,0.009188987,0.003461245,-0.008401405,0.008754306,-0.005366135,-0.001796439,-0.001988861,0.007344123,0.0029
196411,0,0.001730744,0.020639027,-0.004806047,-0.005029692,-0.013705131,-0.006677234,-0.015342722,-0.005888488,0.020684679,0.016138167,0.0029
196412,0.0003,0.001115838,0.02577841,-0.022179561,-0.019696307,0.005239092,0.009515571,-0.017056351,-0.005141344,-0.003836102,0.008089713,0.0031
196501,0.0354,0.028096314,-0.003838098,-0.01428871,-0.000202768,0.006208856,0.032777147,0.018407825,-0.005780558,-0.023699498,-0.021372712,0.0028
196502,0.0044,0.030533472,-0.003744546,-0.006207772,-0.006853736,0.006396257,-0.007327678,0.023190547,-0.012916934,-0.016658505,-0.015554827,0.003
196503,-0.0134,0.020810843,-0.008825755,-0.00498513,-0.002414867,0.000501059,0.011737441,0.001697711,0.002223595,-0.008172177,-0.008128787,0.0036
196504,0.0311,0.00315327,-0.010033303,-0.006522212,-0.020828108,-0.029100276,0.002046807,-0.000480904,-0.008254983,-0.00437208,-0.00583127,0.0031
196505,-0.0077,0.00170533,0.009098457,0.002470567,0.002262193,-0.004235408,0.002386466,-0.005859369,-0.018032701,0.012843125,0.011332642,0.0031
196506,-0.0551,-0.031888325,0.002407335,0.0024827,0.003852182,0.028779804,0.004512954,-0.017288347,0.004483592,0.056677679,0.05928798,0.0035
