date,date_dt,yy,mm,method,gross_ret,sdf_ret,turnover_raw,turnover,cost,net_ret
19930129,1994-01-31,1994,1,"AP-tree + RM AP-pruning (static, no TC)",0.017240625659693143,0.09362865616075185,0.0,0.0,0.0,0.017240625659693143
19930226,1994-02-28,1994,2,"AP-tree + RM AP-pruning (static, no TC)",0.028046767889581402,0.1523135667456266,0.0,0.0,0.0,0.028046767889581402
19930331,1994-03-31,1994,3,"AP-tree + RM AP-pruning (static, no TC)",0.028134113392145506,0.15278791391771804,0.0,0.0,0.0,0.028134113392145506
19930430,1994-04-30,1994,4,"AP-tree + RM AP-pruning (static, no TC)",0.009016566449548714,0.04896626239203396,0.0,0.0,0.0,0.009016566449548714
19930528,1994-05-31,1994,5,"AP-tree + RM AP-pruning (static, no TC)",0.00945881414049914,0.05136797668078448,0.0,0.0,0.0,0.00945881414049914
19930630,1994-06-30,1994,6,"AP-tree + RM AP-pruning (static, no TC)",0.00456348548333591,0.02478291807081934,0.0,0.0,0.0,0.00456348548333591
19930730,1994-07-31,1994,7,"AP-tree + RM AP-pruning (static, no TC)",0.006038779305953382,0.03279479541102896,0.0,0.0,0.0,0.006038779305953382
19930831,1994-08-31,1994,8,"AP-tree + RM AP-pruning (static, no TC)",0.009267175095070532,0.050327242623588474,0.0,0.0,0.0,0.009267175095070532
19930930,1994-09-30,1994,9,"AP-tree + RM AP-pruning (static, no TC)",-0.0029266389817029295,-0.015893696686724173,0.0,0.0,0.0,-0.0029266389817029295
19931029,1994-10-31,1994,10,"AP-tree + RM AP-pruning (static, no TC)",0.009611223443011243,0.052195665794989174,0.0,0.0,0.0,0.009611223443011243
19931130,1994-11-30,1994,11,"AP-tree + RM AP-pruning (static, no TC)",0.014819660988383013,0.08048112466963214,0.0,0.0,0.0,0.014819660988383013
19931231,1994-12-31,1994,12,"AP-tree + RM AP-pruning (static, no TC)",0.006379479795975623,0.03464503737229779,0.0,0.0,0.0,0.006379479795975623
19940131,1995-01-31,1995,1,"AP-tree + RM AP-pruning (static, no TC)",0.0221273583652614,0.12016703274118128,0.0,0.0,0.0,0.0221273583652614
19940228,1995-02-28,1995,2,"AP-tree + RM AP-pruning (static, no TC)",0.014531321074169823,0.0789152372582255,0.0,0.0,0.0,0.014531321074169823
19940331,1995-03-31,1995,3,"AP-tree + RM AP-pruning (static, no TC)",0.00926180716033852,0.05029809098343127,0.0,0.0,0.0,0.00926180716033852
19940429,1995-04-30,1995,4,"AP-tree + RM AP-pruning (static, no TC)",0.008944026776654929,0.04857232123088084,0.0,0.0,0.0,0.008944026776654929
19940531,1995-05-31,1995,5,"AP-tree + RM AP-pruning (static, no TC)",0.012197663710323122,0.06624184551308514,0.0,0.0,0.0,0.012197663710323122
19940630,1995-06-30,1995,6,"AP-tree + RM AP-pruning (static, no TC)",0.00785178015453925,0.04264065810893869,0.0,0.0,0.0,0.00785178015453925
19940729,1995-07-31,1995,7,"AP-tree + RM AP-pruning (static, no TC)",0.01207816401276326,0.06559287857215189,0.0,0.0,0.0,0.01207816401276326
19940831,1995-08-31,1995,8,"AP-tree + RM AP-pruning (static, no TC)",0.006157132946932348,0.0334375384631271,0.0,0.0,0.0,0.006157132946932348
19940930,1995-09-30,1995,9,"AP-tree + RM AP-pruning (static, no TC)",0.0017541222774034558,0.009526110874206309,0.0,0.0,0.0,0.0017541222774034558
19941031,1995-10-31,1995,10,"AP-tree + RM AP-pruning (static, no TC)",0.009743173873294417,0.05291224892318325,0.0,0.0,0.0,0.009743173873294417
19941130,1995-11-30,1995,11,"AP-tree + RM AP-pruning (static, no TC)",-0.0013596147296209371,-0.007383658954348989,0.0,0.0,0.0,-0.0013596147296209371
19941230,1995-12-31,1995,12,"AP-tree + RM AP-pruning (static, no TC)",0.023466801876815695,0.12744114787281857,0.0,0.0,0.0,0.023466801876815695
19950131,1996-01-31,1996,1,"AP-tree + RM AP-pruning (static, no TC)",-0.0017201411314452417,-0.009341569483791001,0.0,0.0,0.0,-0.0017201411314452417
19950228,1996-02-29,1996,2,"AP-tree + RM AP-pruning (static, no TC)",0.014128088167458103,0.07672540053649456,0.0,0.0,0.0,0.014128088167458103
19950331,1996-03-31,1996,3,"AP-tree + RM AP-pruning (static, no TC)",0.01381214877992968,0.0750096286807379,0.0,0.0,0.0,0.01381214877992968
19950428,1996-04-30,1996,4,"AP-tree + RM AP-pruning (static, no TC)",0.0046174453029757465,0.025075957633262,0.0,0.0,0.0,0.0046174453029757465
19950531,1996-05-31,1996,5,"AP-tree + RM AP-pruning (static, no TC)",0.002887929543175097,0.015683477360486392,0.0,0.0,0.0,0.002887929543175097
19950630,1996-06-30,1996,6,"AP-tree + RM AP-pruning (static, no TC)",-0.0030570637101881323,-0.01660199418701442,0.0,0.0,0.0,-0.0030570637101881323
19950731,1996-07-31,1996,7,"AP-tree + RM AP-pruning (static, no TC)",0.009177541831873352,0.04984047131110209,0.0,0.0,0.0,0.009177541831873352
19950831,1996-08-31,1996,8,"AP-tree + RM AP-pruning (static, no TC)",-0.00907224268563043,-0.049268623296290864,0.0,0.0,0.0,-0.00907224268563043
19950929,1996-09-30,1996,9,"AP-tree + RM AP-pruning (static, no TC)",0.014124276723475363,0.0767047017297818,0.0,0.0,0.0,0.014124276723475363
19951031,1996-10-31,1996,10,"AP-tree + RM AP-pruning (static, no TC)",0.00814040908262299,0.044208115067811006,0.0,0.0,0.0,0.00814040908262299
19951130,1996-11-30,1996,11,"AP-tree + RM AP-pruning (static, no TC)",-0.0071271955972844305,-0.03870565715771396,0.0,0.0,0.0,-0.0071271955972844305
19951229,1996-12-31,1996,12,"AP-tree + RM AP-pruning (static, no TC)",0.003653146176372993,0.019839138903888248,0.0,0.0,0.0,0.003653146176372993
19960131,1997-01-31,1997,1,"AP-tree + RM AP-pruning (static, no TC)",0.015144370377826717,0.08224452376990192,0.0,0.0,0.0,0.015144370377826717
19960229,1997-02-28,1997,2,"AP-tree + RM AP-pruning (static, no TC)",-0.005629768792684394,-0.030573582244587755,0.0,0.0,0.0,-0.005629768792684394
19960329,1997-03-31,1997,3,"AP-tree + RM AP-pruning (static, no TC)",0.01688630759457849,0.0917044612420187,0.0,0.0,0.0,0.01688630759457849
19960430,1997-04-30,1997,4,"AP-tree + RM AP-pruning (static, no TC)",-0.007163641914502231,-0.038903586152314706,0.0,0.0,0.0,-0.007163641914502231
19960531,1997-05-31,1997,5,"AP-tree + RM AP-pruning (static, no TC)",0.0196409510231296,0.10666410177410575,0.0,0.0,0.0,0.0196409510231296
19960628,1997-06-30,1997,6,"AP-tree + RM AP-pruning (static, no TC)",0.02044320331896567,0.11102089286995437,0.0,0.0,0.0,0.02044320331896567
19960731,1997-07-31,1997,7,"AP-tree + RM AP-pruning (static, no TC)",0.012189242308767613,0.06619611141235143,0.0,0.0,0.0,0.012189242308767613
19960830,1997-08-31,1997,8,"AP-tree + RM AP-pruning (static, no TC)",0.019198775557521183,0.10426277971947981,0.0,0.0,0.0,0.019198775557521183
19960930,1997-09-30,1997,9,"AP-tree + RM AP-pruning (static, no TC)",0.017393647563198143,0.09445967212682728,0.0,0.0,0.0,0.017393647563198143
19961031,1997-10-31,1997,10,"AP-tree + RM AP-pruning (static, no TC)",0.016794174000496535,0.09120411138398996,0.0,0.0,0.0,0.016794174000496535
19961129,1997-11-30,1997,11,"AP-tree + RM AP-pruning (static, no TC)",0.018932748626781643,0.10281806741498707,0.0,0.0,0.0,0.018932748626781643
19961231,1997-12-31,1997,12,"AP-tree + RM AP-pruning (static, no TC)",-0.008433321051680221,-0.045798831934910834,0.0,0.0,0.0,-0.008433321051680221
19970131,1998-01-31,1998,1,"AP-tree + RM AP-pruning (static, no TC)",0.008985637906879103,0.048798298772596636,0.0,0.0,0.0,0.008985637906879103
19970228,1998-02-28,1998,2,"AP-tree + RM AP-pruning (static, no TC)",0.017069935144340184,0.09270168727416173,0.0,0.0,0.0,0.017069935144340184
19970331,1998-03-31,1998,3,"AP-tree + RM AP-pruning (static, no TC)",0.006641667914655941,0.03606890224228019,0.0,0.0,0.0,0.006641667914655941
19970430,1998-04-30,1998,4,"AP-tree + RM AP-pruning (static, no TC)",0.010603759985130789,0.05758583344107133,0.0,0.0,0.0,0.010603759985130789
