date,date_dt,yy,mm,method,gross_ret,sdf_ret,turnover_raw,turnover,cost,net_ret
19930226,1994-02-28,1994,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.027362477869045145,0.5433553130312421,0.0,0.0,0.0,0.027362477869045145
19930331,1994-03-31,1994,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017255158094188806,0.3426473973790995,0.0,0.0,0.0,0.017255158094188806
19930430,1994-04-30,1994,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.010269908019950282,0.2039365408969403,0.0,0.0,0.0,0.010269908019950282
19930528,1994-05-31,1994,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.010337486698825768,0.20527849663612308,0.0,0.0,0.0,0.010337486698825768
19930630,1994-06-30,1994,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0048317309668373205,0.09594696447205395,0.0,0.0,0.0,0.0048317309668373205
19930730,1994-07-31,1994,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.014792358158561706,0.293741905838443,0.0,0.0,0.0,0.014792358158561706
19930831,1994-08-31,1994,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.005327382570547946,0.10578945511115287,0.0,0.0,0.0,0.005327382570547946
19930930,1994-09-30,1994,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.0007624934864644329,-0.015141351196518011,0.0,0.0,0.0,-0.0007624934864644329
19931029,1994-10-31,1994,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011428694158357145,0.22694734452312143,0.0,0.0,0.0,0.011428694158357145
19931130,1994-11-30,1994,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017960341993613668,0.3566507131698107,0.0,0.0,0.0,0.017960341993613668
19931231,1994-12-31,1994,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011321651229160115,0.22482172035341005,0.0,0.0,0.0,0.011321651229160115
19940131,1995-01-31,1995,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01973977703945329,0.39198616381789525,0.0,0.0,0.0,0.01973977703945329
19940228,1995-02-28,1995,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017630679018303636,0.3501043714970402,0.0,0.0,0.0,0.017630679018303636
19940331,1995-03-31,1995,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011254995306037987,0.22349808840213925,0.0,0.0,0.0,0.011254995306037987
19940429,1995-04-30,1995,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.013958032769289539,0.277174139745492,0.0,0.0,0.0,0.013958032769289539
19940531,1995-05-31,1995,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.013606875483967072,0.2702009709556347,0.0,0.0,0.0,0.013606875483967072
19940630,1995-06-30,1995,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0073400080728106614,0.14575552708132922,0.0,0.0,0.0,0.0073400080728106614
19940729,1995-07-31,1995,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.00916152998675243,0.1819267252630104,0.0,0.0,0.0,0.00916152998675243
19940831,1995-08-31,1995,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0071819632734162284,0.14261712412459,0.0,0.0,0.0,0.0071819632734162284
19940930,1995-09-30,1995,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.00047451632799029456,-0.009422793109877016,0.0,0.0,0.0,-0.00047451632799029456
