date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19730228,1974-02-28,1974,2,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.06744443411580639,1.7425878309773601e-09,1.7425878309773601e-09,4.3564695774434e-12,-0.06744443412016286
19730330,1974-03-31,1974,3,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.013876386548806291,2.6564044540433596e-09,2.6564044540433596e-09,6.641011135108399e-12,-0.013876386555447302
19730430,1974-04-30,1974,4,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.06872204460483164,2.5487791911749103e-09,2.5487791911749103e-09,6.371947977937276e-12,-0.06872204461120358
19730531,1974-05-31,1974,5,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.07660828794734012,3.5594793119930745e-09,3.5594793119930745e-09,8.898698279982686e-12,-0.07660828795623882
19730629,1974-06-30,1974,6,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.027165853022153345,7.132747732729872e-09,7.132747732729872e-09,1.783186933182468e-11,-0.027165853039985213
19730731,1974-07-31,1974,7,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.11439234281787677,9.759593515290543e-09,9.759593515290543e-09,2.439898378822636e-11,0.11439234279347779
19730831,1974-08-31,1974,8,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.04970073548413456,8.849824258833072e-09,8.849824258833072e-09,2.212456064708268e-11,-0.04970073550625912
19730928,1974-09-30,1974,9,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.06723032911885501,1.2690066615583806e-08,1.2690066615583806e-08,3.172516653895952e-11,0.06723032908712985
19731031,1974-10-31,1974,10,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.00938632089769591,9.085028857686028e-09,9.085028857686028e-09,2.2712572144215072e-11,0.00938632087498334
19731130,1974-11-30,1974,11,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.16990634002162225,8.164369107860336e-09,8.164369107860336e-09,2.041092276965084e-11,-0.16990634004203317
19731231,1974-12-31,1974,12,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.026775193492968617,1.6174845168109853e-08,1.6174845168109853e-08,4.043711292027463e-11,-0.02677519353340573
19740131,1975-01-31,1975,1,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.14147695898416196,1.9132465913646035e-08,1.9132465913646035e-08,4.7831164784115087e-11,0.1414769589363308
19740228,1975-02-28,1975,2,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.00029469835468093125,1.503027645746724e-08,1.503027645746724e-08,3.75756911436681e-11,0.0002946983171052401
19740329,1975-03-31,1975,3,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.008999134816478807,1.60035429803973e-08,1.60035429803973e-08,4.0008857450993254e-11,0.00899913477646995
19740430,1975-04-30,1975,4,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.04689315581642164,1.7630753974817726e-08,1.7630753974817726e-08,4.4076884937044314e-11,-0.046893155860498525
19740531,1975-05-31,1975,5,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.07269445025396991,2.435722600696577e-08,2.435722600696577e-08,6.089306501741443e-11,-0.07269445031486298
19740628,1975-06-30,1975,6,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.031019754687471236,3.3736356104541176e-08,3.3736356104541176e-08,8.434089026135295e-11,-0.031019754771812128
19740731,1975-07-31,1975,7,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.058333288695318314,4.008936157345877e-08,4.008936157345877e-08,1.0022340393364692e-10,-0.05833328879554172
19740830,1975-08-31,1975,8,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.08405458585185878,3.860942552474933e-08,3.860942552474933e-08,9.652356381187333e-11,-0.08405458594838235
19740930,1975-09-30,1975,9,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.09103945247338485,5.176924945671235e-08,5.176924945671235e-08,1.2942312364178088e-10,-0.09103945260280798
19741031,1975-10-31,1975,10,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.10711067729419757,5.012091444309141e-08,5.012091444309141e-08,1.2530228610772852e-10,0.10711067716889529
19741129,1975-11-30,1975,11,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.06029234801921042,5.697001365448373e-08,5.697001365448373e-08,1.4242503413620933e-10,-0.06029234816163546
19741231,1975-12-31,1975,12,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.07748522861931953,8.235986806437445e-08,8.235986806437445e-08,2.0589967016093614e-10,-0.0774852288252192
19750131,1976-01-31,1976,1,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.3010861219482531,1.3712994650222354e-07,1.3712994650222354e-07,3.4282486625555886e-10,0.30108612160542825
19750228,1976-02-29,1976,2,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.06438886060972848,3.537714308131379e-07,3.537714308131379e-07,8.844285770328447e-10,0.06438885972529991
19750331,1976-03-31,1976,3,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.10659456379847843,4.1596419501910287e-07,4.1596419501910287e-07,1.0399104875477572e-09,0.10659456275856793
19750430,1976-04-30,1976,4,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.028888879614462314,3.8826286274940003e-07,3.8826286274940003e-07,9.706571568735e-10,0.02888887864380516
19750530,1976-05-31,1976,5,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.06716158983187161,4.859787752151123e-07,4.859787752151123e-07,1.2149469380377808e-09,0.06716158861692467
19750630,1976-06-30,1976,6,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.08111128087442637,4.679769617689511e-07,4.679769617689511e-07,1.1699424044223778e-09,0.08111127970448397
19750731,1976-07-31,1976,7,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.02476908800753716,3.356507461242664e-07,3.356507461242664e-07,8.39126865310666e-10,-0.024769088846664025
19750829,1976-08-31,1976,8,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.05169618977773917,2.825513010923375e-07,2.825513010923375e-07,7.063782527308438e-10,-0.05169619048411742
19750930,1976-09-30,1976,9,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.037078549430726124,4.115551979211318e-07,4.115551979211318e-07,1.0288879948028295e-09,-0.03707855045961412
19751031,1976-10-31,1976,10,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.019874590809298865,4.467184393716628e-07,4.467184393716628e-07,1.116796098429157e-09,0.019874589692502765
19751128,1976-11-30,1976,11,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.023521884379299262,5.294495691483825e-07,5.294495691483825e-07,1.3236239228709563e-09,0.02352188305567534
19751231,1976-12-31,1976,12,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.005006033553712571,7.241103007690763e-07,7.241103007690763e-07,1.810275751922691e-09,-0.005006035363988323
19760130,1977-01-31,1977,1,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.21432950496743935,7.739811233344052e-07,7.739811233344052e-07,1.934952808336013e-09,0.21432950303248655
19760227,1977-02-28,1977,2,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.11913318143409835,9.645336727509557e-07,9.645336727509557e-07,2.411334181877389e-09,0.11913317902276416
19760331,1977-03-31,1977,3,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.024591861750440872,1.0504998394188225e-06,1.0504998394188225e-06,2.6262495985470564e-09,0.024591859124191272
19760430,1977-04-30,1977,4,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.015249857197148782,1.0618263261326366e-06,1.0618263261326366e-06,2.6545658153315914e-09,-0.015249859851714597
19760528,1977-05-31,1977,5,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.026807461283168098,1.128033860830352e-06,1.128033860830352e-06,2.82008465207588e-09,-0.02680746410325275
19760630,1977-06-30,1977,6,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",0.036939446191732395,9.72323461051472e-07,9.72323461051472e-07,2.43080865262868e-09,0.03693944376092374
19760730,1977-07-31,1977,7,"AP-tree + RM rolling TC-aware (portfolio-level TC, lagged trade)",-0.006692465503495344,1.0452422534897032e-06,1.0452422534897032e-06,2.613105633724258e-09,-0.006692468116600978
