date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19730131,1974-01-31,1974,1,AP-tree + RM rolling TC-aware (stock-level TC),0.016385800595400332,1.417618317213252,0.6903829900610794,0.0017259574751526986,0.014659843120247634
19730228,1974-02-28,1974,2,AP-tree + RM rolling TC-aware (stock-level TC),-0.0018822388653154205,0.13004143477543828,0.2623045830583861,0.0006557614576459653,-0.002538000322961386
19730330,1974-03-31,1974,3,AP-tree + RM rolling TC-aware (stock-level TC),0.0031863784794165227,0.15795020424013695,0.23397755450071717,0.000584943886251793,0.0026014345931647297
19730430,1974-04-30,1974,4,AP-tree + RM rolling TC-aware (stock-level TC),-0.00755938743471773,0.10610352357454235,0.1930533116224737,0.00048263327905618425,-0.008042020713773914
19730531,1974-05-31,1974,5,AP-tree + RM rolling TC-aware (stock-level TC),-0.006960350846610486,0.151300209962989,0.23215054095479137,0.0005803763523869785,-0.007540727198997465
19730629,1974-06-30,1974,6,AP-tree + RM rolling TC-aware (stock-level TC),-0.0033172171279454016,0.15108316007725392,0.24318622673595072,0.0006079655668398768,-0.003925182694785278
19730731,1974-07-31,1974,7,AP-tree + RM rolling TC-aware (stock-level TC),-0.011038626472017529,0.16008494292472036,0.8236518373258161,0.0020591295933145405,-0.013097756065332068
19730831,1974-08-31,1974,8,AP-tree + RM rolling TC-aware (stock-level TC),-0.004849584607821011,0.19305244276068936,0.2586868575224598,0.0006467171438061495,-0.00549630175162716
19730928,1974-09-30,1974,9,AP-tree + RM rolling TC-aware (stock-level TC),-0.014200463633442363,0.11794424921847785,0.23233162769104976,0.0005808290692276244,-0.014781292702669988
19731031,1974-10-31,1974,10,AP-tree + RM rolling TC-aware (stock-level TC),-0.0028037922596821563,0.15888053299448884,0.24700293710509913,0.0006175073427627479,-0.003421299602444904
19731130,1974-11-30,1974,11,AP-tree + RM rolling TC-aware (stock-level TC),-0.011563970424430773,0.1675550983506337,0.2763078343066059,0.0006907695857665148,-0.012254740010197288
19731231,1974-12-31,1974,12,AP-tree + RM rolling TC-aware (stock-level TC),-0.013951465301447082,0.19536943298394896,0.3049985561107127,0.0007624963902767818,-0.014713961691723863
19740131,1975-01-31,1975,1,AP-tree + RM rolling TC-aware (stock-level TC),0.03029516360211765,0.23879820050898795,0.28591969278125445,0.0007147992319531362,0.029580364370164515
19740228,1975-02-28,1975,2,AP-tree + RM rolling TC-aware (stock-level TC),-0.004725392693760225,0.19562166815739215,0.3136160729754958,0.0007840401824387395,-0.005509432876198964
19740329,1975-03-31,1975,3,AP-tree + RM rolling TC-aware (stock-level TC),0.012344312163219016,0.22312098093644145,0.2921881495874561,0.0007304703739686402,0.011613841789250377
19740430,1975-04-30,1975,4,AP-tree + RM rolling TC-aware (stock-level TC),-0.0005133637914758009,0.14273448824835688,0.23722596525924466,0.0005930649131481116,-0.0011064287046239126
19740531,1975-05-31,1975,5,AP-tree + RM rolling TC-aware (stock-level TC),-0.002822068495469161,0.1452395543523945,0.25080836053503136,0.0006270209013375784,-0.003449089396806739
19740628,1975-06-30,1975,6,AP-tree + RM rolling TC-aware (stock-level TC),0.004659822035815506,0.19919597986658824,0.3011747068502315,0.0007529367671255788,0.003906885268689927
19740731,1975-07-31,1975,7,AP-tree + RM rolling TC-aware (stock-level TC),0.007278131398908821,0.26178922300036855,0.953482565850146,0.002383706414625365,0.0048944249842834565
19740830,1975-08-31,1975,8,AP-tree + RM rolling TC-aware (stock-level TC),0.003350972848278757,0.15257034522501095,0.29197906359797166,0.0007299476589949292,0.0026210251892838277
19740930,1975-09-30,1975,9,AP-tree + RM rolling TC-aware (stock-level TC),0.0030001459209292036,0.15559894854294687,0.2695617703810919,0.0006739044259527298,0.0023262414949764736
