date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19730131,1974-01-31,1974,1,AP-tree + RM rolling TC-aware + stock-level TC,-0.026025081244862504,5.716859311248254e-10,1.0,0.0025,-0.028525081244862503
19730228,1974-02-28,1974,2,AP-tree + RM rolling TC-aware + stock-level TC,-0.058287309964861665,5.411630791922473e-10,0.24388901369031352,0.0006097225342257838,-0.05889703249908745
19730330,1974-03-31,1974,3,AP-tree + RM rolling TC-aware + stock-level TC,-0.015008202919287072,6.148447319852257e-10,0.21179875878383841,0.0005294968969595961,-0.015537699816246668
19730430,1974-04-30,1974,4,AP-tree + RM rolling TC-aware + stock-level TC,-0.05160035782039201,6.620240039761222e-10,0.19494317623443957,0.000487357940586099,-0.05208771576097811
19730531,1974-05-31,1974,5,AP-tree + RM rolling TC-aware + stock-level TC,-0.058777360702798015,8.257135041900635e-10,0.19136340208075747,0.0004784085052018937,-0.05925576920799991
19730629,1974-06-30,1974,6,AP-tree + RM rolling TC-aware + stock-level TC,-0.020707161871464284,1.0110720276420779e-09,0.18845957168081806,0.0004711489292020452,-0.02117831080066633
19730731,1974-07-31,1974,7,AP-tree + RM rolling TC-aware + stock-level TC,0.08992247665504506,1.0569614971667543e-09,0.3420851333207675,0.0008552128333019188,0.08906726382174314
19730831,1974-08-31,1974,8,AP-tree + RM rolling TC-aware + stock-level TC,-0.032815253591023,1.5627637771093578e-09,0.21159932703779671,0.0005289983175944918,-0.03334425190861749
19730928,1974-09-30,1974,9,AP-tree + RM rolling TC-aware + stock-level TC,0.07296794122307657,1.7652712824486883e-09,0.18711511944900006,0.00046778779862250016,0.07250015342445407
19731031,1974-10-31,1974,10,AP-tree + RM rolling TC-aware + stock-level TC,0.0049360827191958535,1.8712115785893615e-09,0.19474233347495637,0.00048685583368739095,0.004449226885508462
19731130,1974-11-30,1974,11,AP-tree + RM rolling TC-aware + stock-level TC,-0.15474481294566048,1.8757875205367702e-09,0.21638488387616886,0.0005409622096904221,-0.15528577515535089
19731231,1974-12-31,1974,12,AP-tree + RM rolling TC-aware + stock-level TC,0.0017742408885459368,3.85632754602936e-09,0.2624062545384614,0.0006560156363461535,0.0011182252521997832
19740131,1975-01-31,1975,1,AP-tree + RM rolling TC-aware + stock-level TC,0.07622095088229365,4.066900319982247e-09,0.19415309358141897,0.00048538273395354743,0.07573556814834011
19740228,1975-02-28,1975,2,AP-tree + RM rolling TC-aware + stock-level TC,0.00664240780379116,7.574247705920654e-09,0.26441451201640687,0.0006610362800410172,0.005981371523750142
19740329,1975-03-31,1975,3,AP-tree + RM rolling TC-aware + stock-level TC,-0.014027684240462603,7.56207820288516e-09,0.1895157355265911,0.00047378933881647776,-0.01450147357927908
19740430,1975-04-30,1975,4,AP-tree + RM rolling TC-aware + stock-level TC,-0.045194014454706236,7.273782553487637e-09,0.19020950097278813,0.00047552375243197035,-0.045669538207138205
19740531,1975-05-31,1975,5,AP-tree + RM rolling TC-aware + stock-level TC,-0.06966729556147563,7.672896201651319e-09,0.19575237606995016,0.0004893809401748754,-0.07015667650165051
19740628,1975-06-30,1975,6,AP-tree + RM rolling TC-aware + stock-level TC,-0.030070284531393866,8.849251228928295e-09,0.2103676994731913,0.0005259192486829783,-0.030596203780076842
19740731,1975-07-31,1975,7,AP-tree + RM rolling TC-aware + stock-level TC,-0.058033471188710675,9.048190874609736e-09,0.5930783593246167,0.001482695898311542,-0.05951616708702222
19740830,1975-08-31,1975,8,AP-tree + RM rolling TC-aware + stock-level TC,-0.08605461516576667,8.662221734497509e-09,0.24440216686244876,0.0006110054171561219,-0.08666562058292279
19740930,1975-09-30,1975,9,AP-tree + RM rolling TC-aware + stock-level TC,-0.09336272138699134,8.796001799756675e-09,0.20269032770059384,0.0005067258192514845,-0.09386944720624282
19741031,1975-10-31,1975,10,AP-tree + RM rolling TC-aware + stock-level TC,0.13346745813394897,8.558483300530328e-09,0.2125072931392044,0.000531268232848011,0.13293618990110095
19741129,1975-11-30,1975,11,AP-tree + RM rolling TC-aware + stock-level TC,-0.04501757163105334,5.788408645197168e-09,0.22178619711754272,0.0005544654927938568,-0.0455720371238472
19741231,1975-12-31,1975,12,AP-tree + RM rolling TC-aware + stock-level TC,-0.05870456053616853,6.244073538818132e-09,0.2217730647869119,0.0005544326619672797,-0.05925899319813581
19750131,1976-01-31,1976,1,AP-tree + RM rolling TC-aware + stock-level TC,0.22435070250575445,7.796885610235338e-09,0.20343862598910503,0.0005085965649727626,0.2238421059407817
19750228,1976-02-29,1976,2,AP-tree + RM rolling TC-aware + stock-level TC,0.04215296095737117,4.067634810781592e-08,0.2932957527343294,0.0007332393818358235,0.04141972157553535
19750331,1976-03-31,1976,3,AP-tree + RM rolling TC-aware + stock-level TC,0.06874012993500961,3.8465788377434196e-08,0.22275132136944653,0.0005568783034236163,0.06818325163158599
19750430,1976-04-30,1976,4,AP-tree + RM rolling TC-aware + stock-level TC,0.0385450847359481,4.504099481979305e-08,0.24055994940664086,0.0006013998735166021,0.0379436848624315
19750530,1976-05-31,1976,5,AP-tree + RM rolling TC-aware + stock-level TC,0.06371485819506868,4.223254325950738e-08,0.23169957475147318,0.000579248936878683,0.06313560925819
19750630,1976-06-30,1976,6,AP-tree + RM rolling TC-aware + stock-level TC,0.0669390037862598,4.372378734182787e-08,0.2367273595577109,0.0005918183988942772,0.06634718538736553
19750731,1976-07-31,1976,7,AP-tree + RM rolling TC-aware + stock-level TC,-0.03890168046094028,3.900274886956337e-08,0.40456402351511256,0.0010114100587877814,-0.039913090519728064
19750829,1976-08-31,1976,8,AP-tree + RM rolling TC-aware + stock-level TC,-0.0447586932020893,3.562073212293789e-08,0.20300266251289373,0.0005075066562822343,-0.045266199858371534
19750930,1976-09-30,1976,9,AP-tree + RM rolling TC-aware + stock-level TC,-0.0414057009712194,3.834924664262128e-08,0.18697452199047543,0.00046743630497618856,-0.04187313727619559
19751031,1976-10-31,1976,10,AP-tree + RM rolling TC-aware + stock-level TC,0.0365240539567733,3.922025354973716e-08,0.19548466188251812,0.0004887116547062953,0.03603534230206701
19751128,1976-11-30,1976,11,AP-tree + RM rolling TC-aware + stock-level TC,0.03212966629644154,3.5045258341246006e-08,0.22317864610750493,0.0005579466152687623,0.031571719681172776
19751231,1976-12-31,1976,12,AP-tree + RM rolling TC-aware + stock-level TC,-0.01101406932826163,3.3245987842811346e-08,0.19601902926850387,0.0004900475731712597,-0.011504116901432888
19760130,1977-01-31,1977,1,AP-tree + RM rolling TC-aware + stock-level TC,0.18433012204343868,3.225558018208827e-08,0.19827187147333358,0.000495679678683334,0.18383444236475535
19760227,1977-02-28,1977,2,AP-tree + RM rolling TC-aware + stock-level TC,0.07025936005686005,6.236703158166851e-08,0.24810833385489042,0.0006202708346372261,0.06963908922222282
19760331,1977-03-31,1977,3,AP-tree + RM rolling TC-aware + stock-level TC,0.02294180203896193,8.38224741108503e-08,0.2518925205681045,0.0006297313014202613,0.02231207073754167
19760430,1977-04-30,1977,4,AP-tree + RM rolling TC-aware + stock-level TC,-0.014077378266296972,8.34298934621969e-08,0.22414958320624673,0.0005603739580156168,-0.01463775222431259
19760528,1977-05-31,1977,5,AP-tree + RM rolling TC-aware + stock-level TC,-0.024821794255461382,8.258075954049177e-08,0.20834294415684526,0.0005208573603921132,-0.025342651615853494
19760630,1977-06-30,1977,6,AP-tree + RM rolling TC-aware + stock-level TC,0.038999275870357106,7.486699930120931e-08,0.21032359873019751,0.0005258089968254938,0.03847346687353161
19760730,1977-07-31,1977,7,AP-tree + RM rolling TC-aware + stock-level TC,-0.0064324901903258305,7.172694479725197e-08,0.36149792383452917,0.000903744809586323,-0.007336234999912154
19760831,1977-08-31,1977,8,AP-tree + RM rolling TC-aware + stock-level TC,-0.016756323770128412,7.186246677132017e-08,0.25812850133317766,0.0006453212533329442,-0.017401645023461358
19760930,1977-09-30,1977,9,AP-tree + RM rolling TC-aware + stock-level TC,0.02215137205341265,6.504451454845354e-08,0.19295395996357428,0.0004823848999089357,0.021668987153503714
19761029,1977-10-31,1977,10,AP-tree + RM rolling TC-aware + stock-level TC,-0.03186520669022088,6.386713078873878e-08,0.24552080940662863,0.0006138020235165716,-0.032479008713737455
19761130,1977-11-30,1977,11,AP-tree + RM rolling TC-aware + stock-level TC,0.018897173153250207,6.541481130677065e-08,0.20553430811597195,0.0005138357702899299,0.018383337382960278
19761231,1977-12-31,1977,12,AP-tree + RM rolling TC-aware + stock-level TC,0.09082932757336001,6.407572112785906e-08,0.2151954115326053,0.0005379885288315133,0.0902913390445285
19770131,1978-01-31,1978,1,AP-tree + RM rolling TC-aware + stock-level TC,0.008003584681982126,7.007580300408267e-08,0.21248732994104236,0.0005312183248526059,0.007472366357129521
19770228,1978-02-28,1978,2,AP-tree + RM rolling TC-aware + stock-level TC,-0.01010664660828231,4.450850252051518e-08,0.2360741231689567,0.0005901853079223918,-0.010696831916204703
19770331,1978-03-31,1978,3,AP-tree + RM rolling TC-aware + stock-level TC,0.00301360472673539,4.337924073400355e-08,0.23766488811548284,0.0005941622202887071,0.002419442506446683
19770429,1978-04-30,1978,4,AP-tree + RM rolling TC-aware + stock-level TC,0.01400667380876567,4.162305364719017e-08,0.22804776805619775,0.0005701194201404943,0.013436554388625175
19770531,1978-05-31,1978,5,AP-tree + RM rolling TC-aware + stock-level TC,-0.0019316118858511864,4.1286174426490366e-08,0.22366924256324913,0.0005591731064081228,-0.0024907849922593092
19770630,1978-06-30,1978,6,AP-tree + RM rolling TC-aware + stock-level TC,0.055342367502655296,4.3635369267425e-08,0.19383329961397322,0.00048458324903493305,0.05485778425362036
19770729,1978-07-31,1978,7,AP-tree + RM rolling TC-aware + stock-level TC,-0.004139598869756586,3.7322982100631945e-08,0.2983731082119708,0.0007459327705299269,-0.004885531640286512
19770831,1978-08-31,1978,8,AP-tree + RM rolling TC-aware + stock-level TC,-0.01295186153357484,3.279219604765491e-08,0.1912934552626227,0.0004782336381565568,-0.013430095171731398
19770930,1978-09-30,1978,9,AP-tree + RM rolling TC-aware + stock-level TC,0.007697576506952417,3.250614192152213e-08,0.18517151099303591,0.0004629287774825898,0.007234647729469827
19771031,1978-10-31,1978,10,AP-tree + RM rolling TC-aware + stock-level TC,-0.03426549474562275,2.8857232844069734e-08,0.18113384232538796,0.0004528346058134699,-0.03471832935143622
19771130,1978-11-30,1978,11,AP-tree + RM rolling TC-aware + stock-level TC,0.06616337068274283,2.834227147234785e-08,0.20922148398403728,0.0005230537099600932,0.06564031697278275
19771230,1978-12-31,1978,12,AP-tree + RM rolling TC-aware + stock-level TC,0.014544503974492832,3.05705568844376e-08,0.20042457092743024,0.0005010614273185756,0.014043442547174257
19780131,1979-01-31,1979,1,AP-tree + RM rolling TC-aware + stock-level TC,-0.031228729467278102,2.613506597964367e-08,0.20168554323215895,0.0005042138580803974,-0.0317329433253585
19780228,1979-02-28,1979,2,AP-tree + RM rolling TC-aware + stock-level TC,0.013140841041012097,2.5229985975211075e-08,0.20792386598804724,0.0005198096649701181,0.012621031376041978
19780331,1979-03-31,1979,3,AP-tree + RM rolling TC-aware + stock-level TC,0.059039921236573256,2.4004033509798448e-08,0.17933260031884402,0.00044833150079711005,0.05859158973577615
19780428,1979-04-30,1979,4,AP-tree + RM rolling TC-aware + stock-level TC,0.07695257811008954,2.6454564197239683e-08,0.19509325821328427,0.0004877331455332107,0.07646484496455633
19780531,1979-05-31,1979,5,AP-tree + RM rolling TC-aware + stock-level TC,0.05932739185545771,2.0384071399998788e-08,0.2287614214377619,0.0005719035535944048,0.05875548830186331
19780630,1979-06-30,1979,6,AP-tree + RM rolling TC-aware + stock-level TC,-0.00438016318353739,1.9036441836284626e-08,0.20702055599677488,0.0005175513899919372,-0.004897714573529327
19780731,1979-07-31,1979,7,AP-tree + RM rolling TC-aware + stock-level TC,0.055418452198030335,1.9087796505824935e-08,0.29564331672354727,0.0007391082918088682,0.054679343906221464
19780831,1979-08-31,1979,8,AP-tree + RM rolling TC-aware + stock-level TC,0.0733036876625423,1.911857619321753e-08,0.2134610317869668,0.000533652579467417,0.07277003508307489
19780929,1979-09-30,1979,9,AP-tree + RM rolling TC-aware + stock-level TC,-0.004786675855192277,2.2030767466286842e-08,0.2305906241237845,0.0005764765603094613,-0.005363152415501738
19781031,1979-10-31,1979,10,AP-tree + RM rolling TC-aware + stock-level TC,-0.17999933496701753,2.0298364646455583e-08,0.18487602969576156,0.0004621900742394039,-0.18046152504125693
19781130,1979-11-30,1979,11,AP-tree + RM rolling TC-aware + stock-level TC,0.041675747715009884,5.294049326015366e-08,0.2672617686485108,0.0006681544216212771,0.04100759329338861
19781229,1979-12-31,1979,12,AP-tree + RM rolling TC-aware + stock-level TC,0.01947513781380928,5.1178688688564324e-08,0.19580003563897252,0.0004895000890974313,0.01898563772471185
