date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19930129,1994-01-31,1994,1,AP-tree + RM static + stock-level TC,0.024521465733500274,1.0,1.0,0.0025,0.022021465733500275
19930226,1994-02-28,1994,2,AP-tree + RM static + stock-level TC,0.04384224072250278,0.15110996093203108,0.15110996093203108,0.00037777490233007773,0.0434644658201727
19930331,1994-03-31,1994,3,AP-tree + RM static + stock-level TC,0.032570117060302675,0.19849526267474774,0.19849526267474774,0.0004962381566868694,0.03207387890361581
19930430,1994-04-30,1994,4,AP-tree + RM static + stock-level TC,-0.018506608542441075,0.1598875709669883,0.1598875709669883,0.00039971892741747075,-0.018906327469858545
19930528,1994-05-31,1994,5,AP-tree + RM static + stock-level TC,0.01915002010769973,0.1804726437386842,0.1804726437386842,0.00045118160934671056,0.01869883849835302
19930630,1994-06-30,1994,6,AP-tree + RM static + stock-level TC,0.017177167908592382,0.15749553814349943,0.15749553814349943,0.0003937388453587486,0.016783429063233633
19930730,1994-07-31,1994,7,AP-tree + RM static + stock-level TC,0.015709743113850563,0.8888402761370557,0.8888402761370557,0.0022221006903426392,0.013487642423507924
19930831,1994-08-31,1994,8,AP-tree + RM static + stock-level TC,0.0451353766571182,0.12076842721963243,0.12076842721963243,0.0003019210680490811,0.044833455589069114
19930930,1994-09-30,1994,9,AP-tree + RM static + stock-level TC,-0.007621297801738291,0.1491032707480879,0.1491032707480879,0.0003727581768702198,-0.00799405597860851
19931029,1994-10-31,1994,10,AP-tree + RM static + stock-level TC,0.010130150345153414,0.1549576639114593,0.1549576639114593,0.00038739415977864826,0.009742756185374766
19931130,1994-11-30,1994,11,AP-tree + RM static + stock-level TC,-0.030506827740411822,0.15354146106657354,0.15354146106657354,0.0003838536526664339,-0.030890681393078257
19931231,1994-12-31,1994,12,AP-tree + RM static + stock-level TC,0.016467440899925998,0.15905025099843556,0.15905025099843556,0.0003976256274960889,0.01606981527242991
19940131,1995-01-31,1995,1,AP-tree + RM static + stock-level TC,0.03272763874010973,0.14390076975352423,0.14390076975352423,0.00035975192438381055,0.032367886815725916
