date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19930129,1994-01-31,1994,1,"AP-tree + RM baseline (static, no TC)",0.026135102974213693,0.05,0.05,0.0,0.026135102974213693
19930226,1994-02-28,1994,2,"AP-tree + RM baseline (static, no TC)",0.022818768083783962,0.05,0.05,0.0,0.022818768083783962
19930331,1994-03-31,1994,3,"AP-tree + RM baseline (static, no TC)",0.031839847578947485,0.05,0.05,0.0,0.031839847578947485
19930430,1994-04-30,1994,4,"AP-tree + RM baseline (static, no TC)",-0.016490185714329975,0.05,0.05,0.0,-0.016490185714329975
19930528,1994-05-31,1994,5,"AP-tree + RM baseline (static, no TC)",0.027709257941716667,0.05,0.05,0.0,0.027709257941716667
19930630,1994-06-30,1994,6,"AP-tree + RM baseline (static, no TC)",0.01678847676873087,0.05,0.05,0.0,0.01678847676873087
19930730,1994-07-31,1994,7,"AP-tree + RM baseline (static, no TC)",0.011097403323764451,0.05,0.05,0.0,0.011097403323764451
19930831,1994-08-31,1994,8,"AP-tree + RM baseline (static, no TC)",0.04087754395321768,0.05,0.05,0.0,0.04087754395321768
19930930,1994-09-30,1994,9,"AP-tree + RM baseline (static, no TC)",-0.004889540293379806,0.05,0.05,0.0,-0.004889540293379806
19931029,1994-10-31,1994,10,"AP-tree + RM baseline (static, no TC)",0.011012044222173703,0.05,0.05,0.0,0.011012044222173703
19931130,1994-11-30,1994,11,"AP-tree + RM baseline (static, no TC)",-0.02928779368919555,0.05,0.05,0.0,-0.02928779368919555
19931231,1994-12-31,1994,12,"AP-tree + RM baseline (static, no TC)",0.02045806032324151,0.05,0.05,0.0,0.02045806032324151
19940131,1995-01-31,1995,1,"AP-tree + RM baseline (static, no TC)",0.03656810604946902,0.05,0.05,0.0,0.03656810604946902
19940228,1995-02-28,1995,2,"AP-tree + RM baseline (static, no TC)",-0.027598109949941503,0.05,0.05,0.0,-0.027598109949941503
19940331,1995-03-31,1995,3,"AP-tree + RM baseline (static, no TC)",-0.04195218188100272,0.05,0.05,0.0,-0.04195218188100272
19940429,1995-04-30,1995,4,"AP-tree + RM baseline (static, no TC)",0.018677280589769037,0.05,0.05,0.0,0.018677280589769037
19940531,1995-05-31,1995,5,"AP-tree + RM baseline (static, no TC)",0.005681818875887897,0.05,0.05,0.0,0.005681818875887897
19940630,1995-06-30,1995,6,"AP-tree + RM baseline (static, no TC)",-0.023803892113507696,0.05,0.05,0.0,-0.023803892113507696
19940729,1995-07-31,1995,7,"AP-tree + RM baseline (static, no TC)",0.0325319152192977,0.05,0.05,0.0,0.0325319152192977
19940831,1995-08-31,1995,8,"AP-tree + RM baseline (static, no TC)",0.04184716455147184,0.05,0.05,0.0,0.04184716455147184
19940930,1995-09-30,1995,9,"AP-tree + RM baseline (static, no TC)",-0.015611764875633089,0.05,0.05,0.0,-0.015611764875633089
19941031,1995-10-31,1995,10,"AP-tree + RM baseline (static, no TC)",0.012229559765937896,0.05,0.05,0.0,0.012229559765937896
19941130,1995-11-30,1995,11,"AP-tree + RM baseline (static, no TC)",-0.047032000317882974,0.05,0.05,0.0,-0.047032000317882974
19941230,1995-12-31,1995,12,"AP-tree + RM baseline (static, no TC)",0.015776394580386405,0.05,0.05,0.0,0.015776394580386405
19950131,1996-01-31,1996,1,"AP-tree + RM baseline (static, no TC)",0.016136635291769674,0.05,0.05,0.0,0.016136635291769674
19950228,1996-02-29,1996,2,"AP-tree + RM baseline (static, no TC)",0.0359916037387121,0.05,0.05,0.0,0.0359916037387121
19950331,1996-03-31,1996,3,"AP-tree + RM baseline (static, no TC)",0.02777078693568112,0.05,0.05,0.0,0.02777078693568112
19950428,1996-04-30,1996,4,"AP-tree + RM baseline (static, no TC)",0.03207574549712028,0.05,0.05,0.0,0.03207574549712028
19950531,1996-05-31,1996,5,"AP-tree + RM baseline (static, no TC)",0.04354120759988633,0.05,0.05,0.0,0.04354120759988633
19950630,1996-06-30,1996,6,"AP-tree + RM baseline (static, no TC)",0.03013326065449295,0.05,0.05,0.0,0.03013326065449295
19950731,1996-07-31,1996,7,"AP-tree + RM baseline (static, no TC)",0.05344914008367786,0.05,0.05,0.0,0.05344914008367786
19950831,1996-08-31,1996,8,"AP-tree + RM baseline (static, no TC)",0.007827711892593061,0.05,0.05,0.0,0.007827711892593061
19950929,1996-09-30,1996,9,"AP-tree + RM baseline (static, no TC)",0.036364111696999234,0.05,0.05,0.0,0.036364111696999234
19951031,1996-10-31,1996,10,"AP-tree + RM baseline (static, no TC)",-0.01142968041124916,0.05,0.05,0.0,-0.01142968041124916
19951130,1996-11-30,1996,11,"AP-tree + RM baseline (static, no TC)",0.04491728454703589,0.05,0.05,0.0,0.04491728454703589
19951229,1996-12-31,1996,12,"AP-tree + RM baseline (static, no TC)",0.028005418424820117,0.05,0.05,0.0,0.028005418424820117
19960131,1997-01-31,1997,1,"AP-tree + RM baseline (static, no TC)",0.01753733964922998,0.05,0.05,0.0,0.01753733964922998
19960229,1997-02-28,1997,2,"AP-tree + RM baseline (static, no TC)",0.009434750966267828,0.05,0.05,0.0,0.009434750966267828
19960329,1997-03-31,1997,3,"AP-tree + RM baseline (static, no TC)",0.013158329652230873,0.05,0.05,0.0,0.013158329652230873
19960430,1997-04-30,1997,4,"AP-tree + RM baseline (static, no TC)",0.021486177396951914,0.05,0.05,0.0,0.021486177396951914
19960531,1997-05-31,1997,5,"AP-tree + RM baseline (static, no TC)",0.03764712253068323,0.05,0.05,0.0,0.03764712253068323
19960628,1997-06-30,1997,6,"AP-tree + RM baseline (static, no TC)",-0.01965329299070453,0.05,0.05,0.0,-0.01965329299070453
19960731,1997-07-31,1997,7,"AP-tree + RM baseline (static, no TC)",-0.045402850495720445,0.05,0.05,0.0,-0.045402850495720445
19960830,1997-08-31,1997,8,"AP-tree + RM baseline (static, no TC)",0.03730140099128503,0.05,0.05,0.0,0.03730140099128503
19960930,1997-09-30,1997,9,"AP-tree + RM baseline (static, no TC)",0.0448414601860119,0.05,0.05,0.0,0.0448414601860119
19961031,1997-10-31,1997,10,"AP-tree + RM baseline (static, no TC)",0.024184585806872685,0.05,0.05,0.0,0.024184585806872685
19961129,1997-11-30,1997,11,"AP-tree + RM baseline (static, no TC)",0.06473468963576122,0.05,0.05,0.0,0.06473468963576122
19961231,1997-12-31,1997,12,"AP-tree + RM baseline (static, no TC)",-0.013270084183192693,0.05,0.05,0.0,-0.013270084183192693
19970131,1998-01-31,1998,1,"AP-tree + RM baseline (static, no TC)",0.049889078940050485,0.05,0.05,0.0,0.049889078940050485
19970228,1998-02-28,1998,2,"AP-tree + RM baseline (static, no TC)",0.008547135205813221,0.05,0.05,0.0,0.008547135205813221
19970331,1998-03-31,1998,3,"AP-tree + RM baseline (static, no TC)",-0.03841565184007562,0.05,0.05,0.0,-0.03841565184007562
19970430,1998-04-30,1998,4,"AP-tree + RM baseline (static, no TC)",0.03913063096500679,0.05,0.05,0.0,0.03913063096500679
19970530,1998-05-31,1998,5,"AP-tree + RM baseline (static, no TC)",0.0614833175377342,0.05,0.05,0.0,0.0614833175377342
19970630,1998-06-30,1998,6,"AP-tree + RM baseline (static, no TC)",0.04980039142245589,0.05,0.05,0.0,0.04980039142245589
19970731,1998-07-31,1998,7,"AP-tree + RM baseline (static, no TC)",0.0855195899719225,0.05,0.05,0.0,0.0855195899719225
19970829,1998-08-31,1998,8,"AP-tree + RM baseline (static, no TC)",-0.03925415158405953,0.05,0.05,0.0,-0.03925415158405953
19970930,1998-09-30,1998,9,"AP-tree + RM baseline (static, no TC)",0.06445982198460322,0.05,0.05,0.0,0.06445982198460322
19971031,1998-10-31,1998,10,"AP-tree + RM baseline (static, no TC)",-0.03287910413556618,0.05,0.05,0.0,-0.03287910413556618
19971128,1998-11-30,1998,11,"AP-tree + RM baseline (static, no TC)",0.030127836224336513,0.05,0.05,0.0,0.030127836224336513
19971231,1998-12-31,1998,12,"AP-tree + RM baseline (static, no TC)",0.02509015634214282,0.05,0.05,0.0,0.02509015634214282
19980130,1999-01-31,1999,1,"AP-tree + RM baseline (static, no TC)",-0.006280989599552503,0.05,0.05,0.0,-0.006280989599552503
19980227,1999-02-28,1999,2,"AP-tree + RM baseline (static, no TC)",0.06518354635729473,0.05,0.05,0.0,0.06518354635729473
19980331,1999-03-31,1999,3,"AP-tree + RM baseline (static, no TC)",0.051345925522970154,0.05,0.05,0.0,0.051345925522970154
19980430,1999-04-30,1999,4,"AP-tree + RM baseline (static, no TC)",0.0059327645787806225,0.05,0.05,0.0,0.0059327645787806225
19980529,1999-05-31,1999,5,"AP-tree + RM baseline (static, no TC)",-0.019899470168591355,0.05,0.05,0.0,-0.019899470168591355
19980630,1999-06-30,1999,6,"AP-tree + RM baseline (static, no TC)",0.028432837441313925,0.05,0.05,0.0,0.028432837441313925
19980731,1999-07-31,1999,7,"AP-tree + RM baseline (static, no TC)",-0.018781849375720434,0.05,0.05,0.0,-0.018781849375720434
19980831,1999-08-31,1999,8,"AP-tree + RM baseline (static, no TC)",-0.16434165521761648,0.05,0.05,0.0,-0.16434165521761648
19980930,1999-09-30,1999,9,"AP-tree + RM baseline (static, no TC)",0.06292347565280917,0.05,0.05,0.0,0.06292347565280917
19981030,1999-10-31,1999,10,"AP-tree + RM baseline (static, no TC)",0.07318704765829537,0.05,0.05,0.0,0.07318704765829537
19981130,1999-11-30,1999,11,"AP-tree + RM baseline (static, no TC)",0.056427492452357605,0.05,0.05,0.0,0.056427492452357605
19981231,1999-12-31,1999,12,"AP-tree + RM baseline (static, no TC)",0.08079889094529731,0.05,0.05,0.0,0.08079889094529731
19990129,2000-01-31,2000,1,"AP-tree + RM baseline (static, no TC)",0.036209076801346655,0.05,0.05,0.0,0.036209076801346655
19990226,2000-02-29,2000,2,"AP-tree + RM baseline (static, no TC)",-0.021147259499359125,0.05,0.05,0.0,-0.021147259499359125
19990331,2000-03-31,2000,3,"AP-tree + RM baseline (static, no TC)",0.08738889235555769,0.05,0.05,0.0,0.08738889235555769
19990430,2000-04-30,2000,4,"AP-tree + RM baseline (static, no TC)",0.057303493341247486,0.05,0.05,0.0,0.057303493341247486
19990528,2000-05-31,2000,5,"AP-tree + RM baseline (static, no TC)",-0.023169873996461463,0.05,0.05,0.0,-0.023169873996461463
19990630,2000-06-30,2000,6,"AP-tree + RM baseline (static, no TC)",0.032253740846909434,0.05,0.05,0.0,0.032253740846909434
