date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19930129,1994-01-31,1994,1,"AP-tree + RM baseline (static, no TC)",0.024521465733500274,0.0,0.0,0.0,0.024521465733500274,1.0245214657335002,1.0245214657335002,0.0
19930226,1994-02-28,1994,2,"AP-tree + RM baseline (static, no TC)",0.04384224072250278,0.0,0.0,0.0,0.04384224072250278,1.0694387824595597,1.0694387824595597,0.0
19930331,1994-03-31,1994,3,"AP-tree + RM baseline (static, no TC)",0.032570117060302675,0.0,0.0,0.0,0.032570117060302675,1.1042705287930952,1.1042705287930952,0.0
19930430,1994-04-30,1994,4,"AP-tree + RM baseline (static, no TC)",-0.018506608542441075,0.0,0.0,0.0,-0.018506608542441075,1.0838342263917669,1.0838342263917669,-0.018506608542441128
19930528,1994-05-31,1994,5,"AP-tree + RM baseline (static, no TC)",0.01915002010769973,0.0,0.0,0.0,0.01915002010769973,1.1045896736205825,1.1045896736205825,0.0
19930630,1994-06-30,1994,6,"AP-tree + RM baseline (static, no TC)",0.017177167908592382,0.0,0.0,0.0,0.017177167908592382,1.1235633959144604,1.1235633959144604,0.0
19930730,1994-07-31,1994,7,"AP-tree + RM baseline (static, no TC)",0.015709743113850563,0.0,0.0,0.0,0.015709743113850563,1.1412142882364023,1.1412142882364023,0.0
19930831,1994-08-31,1994,8,"AP-tree + RM baseline (static, no TC)",0.0451353766571182,0.0,0.0,0.0,0.0451353766571182,1.1927234249824372,1.1927234249824372,0.0
19930930,1994-09-30,1994,9,"AP-tree + RM baseline (static, no TC)",-0.007621297801738291,0.0,0.0,0.0,-0.007621297801738291,1.1836333245655368,1.1836333245655368,-0.007621297801738258
19931029,1994-10-31,1994,10,"AP-tree + RM baseline (static, no TC)",0.010130150345153414,0.0,0.0,0.0,0.010130150345153414,1.1956237080969194,1.1956237080969194,0.0
19931130,1994-11-30,1994,11,"AP-tree + RM baseline (static, no TC)",-0.030506827740411822,0.0,0.0,0.0,-0.030506827740411822,1.1591490215916542,1.1591490215916542,-0.030506827740411913
19931231,1994-12-31,1994,12,"AP-tree + RM baseline (static, no TC)",0.016467440899925998,0.0,0.0,0.0,0.016467440899925998,1.1782372395989218,1.1782372395989218,-0.014541756223345303
19940131,1995-01-31,1995,1,"AP-tree + RM baseline (static, no TC)",0.03272763874010973,0.0,0.0,0.0,0.03272763874010973,1.2167981623266593,1.2167981623266593,0.0
19940228,1995-02-28,1995,2,"AP-tree + RM baseline (static, no TC)",-0.028506058116225422,0.0,0.0,0.0,-0.028506058116225422,1.1821120431956593,1.1821120431956593,-0.028506058116225308
19940331,1995-03-31,1995,3,"AP-tree + RM baseline (static, no TC)",-0.04720531870121989,0.0,0.0,0.0,-0.04720531870121989,1.126310067456058,1.126310067456058,-0.07436573925915335
19940429,1995-04-30,1995,4,"AP-tree + RM baseline (static, no TC)",0.027713463477907402,0.0,0.0,0.0,0.027713463477907402,1.157524020375301,1.157524020375301,-0.04871320798021195
19940531,1995-05-31,1995,5,"AP-tree + RM baseline (static, no TC)",-0.0034274631392308907,0.0,0.0,0.0,-0.0034274631392308907,1.1535566494626903,1.1535566494626903,-0.05197370839469695
19940630,1995-06-30,1995,6,"AP-tree + RM baseline (static, no TC)",-0.014153462828578774,0.0,0.0,0.0,-0.014153462828578774,1.1372298283038602,1.1372298283038602,-0.06539156327344808
19940729,1995-07-31,1995,7,"AP-tree + RM baseline (static, no TC)",0.03715360900599604,0.0,0.0,0.0,0.03715360900599604,1.179482020694618,1.179482020694618,-0.030667486841604474
19940831,1995-08-31,1995,8,"AP-tree + RM baseline (static, no TC)",0.03794922499937198,0.0,0.0,0.0,0.03794922499937198,1.224242449280672,1.224242449280672,0.0
19940930,1995-09-30,1995,9,"AP-tree + RM baseline (static, no TC)",-0.012422428765970762,0.0,0.0,0.0,-0.012422428765970762,1.2090343846622054,1.2090343846622054,-0.012422428765970772
19941031,1995-10-31,1995,10,"AP-tree + RM baseline (static, no TC)",0.016443717858573997,0.0,0.0,0.0,0.016443717858573997,1.2289154049649051,1.2289154049649051,0.0
19941130,1995-11-30,1995,11,"AP-tree + RM baseline (static, no TC)",-0.04080666944404422,0.0,0.0,0.0,-0.04080666944404422,1.1787674602598086,1.1787674602598086,-0.0408066694440441
19941230,1995-12-31,1995,12,"AP-tree + RM baseline (static, no TC)",0.016016186554359442,0.0,0.0,0.0,0.016016186554359442,1.1976468198075383,1.1976468198075383,-0.025444050120162487
19950131,1996-01-31,1996,1,"AP-tree + RM baseline (static, no TC)",0.014228025935745337,0.0,0.0,0.0,0.014228025935745337,1.2146869698216227,1.2146869698216227,-0.011578042789437415
19950228,1996-02-29,1996,2,"AP-tree + RM baseline (static, no TC)",0.035717555757017544,0.0,0.0,0.0,0.035717555757017544,1.2580726193935492,1.2580726193935492,0.0
19950331,1996-03-31,1996,3,"AP-tree + RM baseline (static, no TC)",0.032562539835292635,0.0,0.0,0.0,0.032562539835292635,1.2990386591782426,1.2990386591782426,0.0
19950428,1996-04-30,1996,4,"AP-tree + RM baseline (static, no TC)",0.03013503387936956,0.0,0.0,0.0,0.03013503387936956,1.3381852331831896,1.3381852331831896,0.0
19950531,1996-05-31,1996,5,"AP-tree + RM baseline (static, no TC)",0.04083767599764934,0.0,0.0,0.0,0.04083767599764934,1.3928336081607637,1.3928336081607637,0.0
19950630,1996-06-30,1996,6,"AP-tree + RM baseline (static, no TC)",0.021916330391055054,0.0,0.0,0.0,0.021916330391055054,1.4233594096969804,1.4233594096969804,0.0
19950731,1996-07-31,1996,7,"AP-tree + RM baseline (static, no TC)",0.050957246428206496,0.0,0.0,0.0,0.050957246428206496,1.4958898858928158,1.4958898858928158,0.0
19950831,1996-08-31,1996,8,"AP-tree + RM baseline (static, no TC)",0.012090218312513924,0.0,0.0,0.0,0.012090218312513924,1.5139755211847417,1.5139755211847417,0.0
19950929,1996-09-30,1996,9,"AP-tree + RM baseline (static, no TC)",0.040665913264918474,0.0,0.0,0.0,0.040665913264918474,1.5755427184144501,1.5755427184144501,0.0
19951031,1996-10-31,1996,10,"AP-tree + RM baseline (static, no TC)",-0.002535703105872073,0.0,0.0,0.0,-0.002535703105872073,1.5715476098499326,1.5715476098499326,-0.0025357031058720336
19951130,1996-11-30,1996,11,"AP-tree + RM baseline (static, no TC)",0.04929299691412033,0.0,0.0,0.0,0.04929299691412033,1.6490139013326583,1.6490139013326583,0.0
19951229,1996-12-31,1996,12,"AP-tree + RM baseline (static, no TC)",0.03335959579796672,0.0,0.0,0.0,0.03335959579796672,1.7040243385463438,1.7040243385463438,0.0
19960131,1997-01-31,1997,1,"AP-tree + RM baseline (static, no TC)",0.020897144830187245,0.0,0.0,0.0,0.020897144830187245,1.739633581943111,1.739633581943111,0.0
19960229,1997-02-28,1997,2,"AP-tree + RM baseline (static, no TC)",0.005977208794047658,0.0,0.0,0.0,0.005977208794047658,1.750031735087522,1.750031735087522,0.0
19960329,1997-03-31,1997,3,"AP-tree + RM baseline (static, no TC)",0.019994668246709296,0.0,0.0,0.0,0.019994668246709296,1.7850230390518103,1.7850230390518103,0.0
19960430,1997-04-30,1997,4,"AP-tree + RM baseline (static, no TC)",0.019284110590102727,0.0,0.0,0.0,0.019284110590102727,1.8194456207427665,1.8194456207427665,0.0
19960531,1997-05-31,1997,5,"AP-tree + RM baseline (static, no TC)",0.030844158020968834,0.0,0.0,0.0,0.030844158020968834,1.8755648889795162,1.8755648889795162,0.0
19960628,1997-06-30,1997,6,"AP-tree + RM baseline (static, no TC)",-0.002005600626117382,0.0,0.0,0.0,-0.002005600626117382,1.871803254863855,1.871803254863855,-0.002005600626117432
19960731,1997-07-31,1997,7,"AP-tree + RM baseline (static, no TC)",-0.05541124535705733,0.0,0.0,0.0,-0.05541124535705733,1.7680843054484554,1.7680843054484554,-0.057305713154792715
19960830,1997-08-31,1997,8,"AP-tree + RM baseline (static, no TC)",0.034657564145769086,0.0,0.0,0.0,0.034657564145769086,1.829361800679663,1.829361800679663,-0.02463422543860483
19960930,1997-09-30,1997,9,"AP-tree + RM baseline (static, no TC)",0.035561678964783947,0.0,0.0,0.0,0.035561678964783947,1.8944169777458721,1.8944169777458721,0.0
19961031,1997-10-31,1997,10,"AP-tree + RM baseline (static, no TC)",0.03371113314693835,0.0,0.0,0.0,0.03371113314693835,1.958279920718484,1.958279920718484,0.0
19961129,1997-11-30,1997,11,"AP-tree + RM baseline (static, no TC)",0.05429377333037193,0.0,0.0,0.0,0.05429377333037193,2.064602326851392,2.064602326851392,0.0
19961231,1997-12-31,1997,12,"AP-tree + RM baseline (static, no TC)",-0.007122907482692139,0.0,0.0,0.0,-0.007122907482692139,2.0498963554886784,2.0498963554886784,-0.007122907482692176
19970131,1998-01-31,1998,1,"AP-tree + RM baseline (static, no TC)",0.039793015121978956,0.0,0.0,0.0,0.039793015121978956,2.131467912161129,2.131467912161129,0.0
19970228,1998-02-28,1998,2,"AP-tree + RM baseline (static, no TC)",-0.0028895799090052202,0.0,0.0,0.0,-0.0028895799090052202,2.1253088653054593,2.1253088653054593,-0.002889579909005069
19970331,1998-03-31,1998,3,"AP-tree + RM baseline (static, no TC)",-0.018018369692993166,0.0,0.0,0.0,-0.018018369692993166,2.0870142644585896,2.0870142644585896,-0.020855884082940368
19970430,1998-04-30,1998,4,"AP-tree + RM baseline (static, no TC)",0.016863994512169172,0.0,0.0,0.0,0.016863994512169172,2.122209661561238,2.122209661561238,-0.00434360308549242
19970530,1998-05-31,1998,5,"AP-tree + RM baseline (static, no TC)",0.07183508201320396,0.0,0.0,0.0,0.07183508201320396,2.2746587666487033,2.2746587666487033,0.0
19970630,1998-06-30,1998,6,"AP-tree + RM baseline (static, no TC)",0.05573743177186545,0.0,0.0,0.0,0.05573743177186545,2.401442404459061,2.401442404459061,0.0
19970731,1998-07-31,1998,7,"AP-tree + RM baseline (static, no TC)",0.06886616111439553,0.0,0.0,0.0,0.06886616111439553,2.5668205239914803,2.5668205239914803,0.0
19970829,1998-08-31,1998,8,"AP-tree + RM baseline (static, no TC)",-0.040728407028664176,0.0,0.0,0.0,-0.040728407028664176,2.462278012920826,2.462278012920826,-0.040728407028664204
19970930,1998-09-30,1998,9,"AP-tree + RM baseline (static, no TC)",0.06043855825588445,0.0,0.0,0.0,0.06043855825588445,2.6110945460469246,2.6110945460469246,0.0
