date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19940131,1994-01-31,1994,1,Triple Sort static + stock-level TC,0.007473365984453234,1.0,1.0,0.0025,0.004973365984453235
19940228,1994-02-28,1994,2,Triple Sort static + stock-level TC,-0.0016226742908877633,0.23858296967762332,0.23858296967762332,0.0005964574241940584,-0.0022191317150818215
19940331,1994-03-31,1994,3,Triple Sort static + stock-level TC,0.0006585801153980947,0.147900468387864,0.147900468387864,0.00036975117096966,0.0002888289444284347
19940430,1994-04-30,1994,4,Triple Sort static + stock-level TC,-0.008667233626296941,0.1594543825804495,0.1594543825804495,0.00039863595645112375,-0.009065869582748066
19940531,1994-05-31,1994,5,Triple Sort static + stock-level TC,-0.0008381830914705041,0.14252185700472725,0.14252185700472725,0.0003563046425118181,-0.0011944877339823221
19940630,1994-06-30,1994,6,Triple Sort static + stock-level TC,0.002497353162856727,0.12734442669104723,0.12734442669104723,0.0003183610667276181,0.0021789920961291093
19940731,1994-07-31,1994,7,Triple Sort static + stock-level TC,-0.007222184907377065,1.207690093881951,1.207690093881951,0.0030192252347048774,-0.010241410142081943
19940831,1994-08-31,1994,8,Triple Sort static + stock-level TC,-0.0003915003595463531,0.13648636214474535,0.13648636214474535,0.0003412159053618634,-0.0007327162649082165
19940930,1994-09-30,1994,9,Triple Sort static + stock-level TC,0.0033716170139415544,0.13942385577871008,0.13942385577871008,0.00034855963944677523,0.0030230573744947794
19941031,1994-10-31,1994,10,Triple Sort static + stock-level TC,-0.003027994890330746,0.1623309827772459,0.1623309827772459,0.00040582745694311474,-0.003433822347273861
19941130,1994-11-30,1994,11,Triple Sort static + stock-level TC,0.006793076523460803,0.1483112050358826,0.1483112050358826,0.0003707780125897065,0.006422298510871096
19941231,1994-12-31,1994,12,Triple Sort static + stock-level TC,0.002225331349988738,0.14010210155318992,0.14010210155318992,0.0003502552538829748,0.0018750760961057634
19950131,1995-01-31,1995,1,Triple Sort static + stock-level TC,-0.0023258984783204022,0.1558438747099138,0.1558438747099138,0.00038960968677478447,-0.002715508165095187
19950228,1995-02-28,1995,2,Triple Sort static + stock-level TC,0.002886389989483911,0.17052782933813476,0.17052782933813476,0.0004263195733453369,0.002460070416138574
19950331,1995-03-31,1995,3,Triple Sort static + stock-level TC,0.00600152227472545,0.11790721039258423,0.11790721039258423,0.0002947680259814606,0.0057067542487439895
