date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19740131,1974-01-31,1974,1,Triple Sort rolling TC-aware + portfolio-level TC,-0.0002480509978088714,1.8764709418548822,1.8764709418548822,0.004691177354637205,-0.004939228352446077
19740228,1974-02-28,1974,2,Triple Sort rolling TC-aware + portfolio-level TC,-0.07839914950162366,4.809826306347714e-06,4.809826306347714e-06,1.2024565765869286e-08,-0.07839916152618942
19740331,1974-03-31,1974,3,Triple Sort rolling TC-aware + portfolio-level TC,-0.030124955134063602,5.860263485382711e-07,5.860263485382711e-07,1.4650658713456777e-09,-0.030124956599129473
19740430,1974-04-30,1974,4,Triple Sort rolling TC-aware + portfolio-level TC,-0.07424836568219163,1.5668356530655625e-05,1.5668356530655625e-05,3.917089132663906e-08,-0.07424840485308296
19740531,1974-05-31,1974,5,Triple Sort rolling TC-aware + portfolio-level TC,-0.1035916825164849,0.09225998694277213,0.09225998694277213,0.00023064996735693032,-0.10382233248384183
19740630,1974-06-30,1974,6,Triple Sort rolling TC-aware + portfolio-level TC,0.027677999480533,0.0,0.0,0.0,0.027677999480533
19740731,1974-07-31,1974,7,Triple Sort rolling TC-aware + portfolio-level TC,0.1214330146000799,0.0,0.0,0.0,0.1214330146000799
19740831,1974-08-31,1974,8,Triple Sort rolling TC-aware + portfolio-level TC,-0.0500974115464836,0.0,0.0,0.0,-0.0500974115464836
19740930,1974-09-30,1974,9,Triple Sort rolling TC-aware + portfolio-level TC,-0.0073185253829292,0.0,0.0,0.0,-0.0073185253829292
19741031,1974-10-31,1974,10,Triple Sort rolling TC-aware + portfolio-level TC,0.0670565061531323,0.0,0.0,0.0,0.0670565061531323
19741130,1974-11-30,1974,11,Triple Sort rolling TC-aware + portfolio-level TC,-0.191805907059856,0.0,0.0,0.0,-0.191805907059856
19741231,1974-12-31,1974,12,Triple Sort rolling TC-aware + portfolio-level TC,-0.0702818070108779,0.0,0.0,0.0,-0.0702818070108779
19750131,1975-01-31,1975,1,Triple Sort rolling TC-aware + portfolio-level TC,0.1973362815960803,0.0,0.0,0.0,0.1973362815960803
19750228,1975-02-28,1975,2,Triple Sort rolling TC-aware + portfolio-level TC,-0.013964550130023,0.0,0.0,0.0,-0.013964550130023
19750331,1975-03-31,1975,3,Triple Sort rolling TC-aware + portfolio-level TC,0.0404982317192022,0.0,0.0,0.0,0.0404982317192022
19750430,1975-04-30,1975,4,Triple Sort rolling TC-aware + portfolio-level TC,-0.0218892363238945,0.0,0.0,0.0,-0.0218892363238945
19750531,1975-05-31,1975,5,Triple Sort rolling TC-aware + portfolio-level TC,-0.0940049649011393,0.0,0.0,0.0,-0.0940049649011393
19750630,1975-06-30,1975,6,Triple Sort rolling TC-aware + portfolio-level TC,-0.0499288727745947,0.0,0.0,0.0,-0.0499288727745947
19750731,1975-07-31,1975,7,Triple Sort rolling TC-aware + portfolio-level TC,-0.0724449246912997,0.0,0.0,0.0,-0.0724449246912997
19750831,1975-08-31,1975,8,Triple Sort rolling TC-aware + portfolio-level TC,-0.0747642211343657,0.0,0.0,0.0,-0.0747642211343657
19750930,1975-09-30,1975,9,Triple Sort rolling TC-aware + portfolio-level TC,-0.0907681704838711,0.0,0.0,0.0,-0.0907681704838711
19751031,1975-10-31,1975,10,Triple Sort rolling TC-aware + portfolio-level TC,0.0668236094645423,0.0,0.0,0.0,0.0668236094645423
