date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19740131,1974-01-31,1974,1,Triple Sort rolling TC-aware + stock-level TC,-0.0003763934226977987,1.492606296079634,1.0,0.0025,-0.0028763934226977987
19740228,1974-02-28,1974,2,Triple Sort rolling TC-aware + stock-level TC,-0.010750504270841583,0.3504499890105407,0.4024161198536673,0.0010060402996341683,-0.01175654457047575
19740331,1974-03-31,1974,3,Triple Sort rolling TC-aware + stock-level TC,-0.006022544133522571,0.0001242136261761589,0.11990356945673222,0.00029975892364183057,-0.006322303057164401
19740430,1974-04-30,1974,4,Triple Sort rolling TC-aware + stock-level TC,-0.01544170596665956,0.19026275455632782,0.27334393019336023,0.0006833598254834006,-0.01612506579214296
19740531,1974-05-31,1974,5,Triple Sort rolling TC-aware + stock-level TC,-0.018081417626397166,1.5650025055331356e-05,0.15048873763032636,0.0003762218440758159,-0.01845763947047298
19740630,1974-06-30,1974,6,Triple Sort rolling TC-aware + stock-level TC,-0.005219588465775041,0.361553661505256,0.41619146479740676,0.001040478661993517,-0.006260067127768557
19740731,1974-07-31,1974,7,Triple Sort rolling TC-aware + stock-level TC,-0.007150121292595818,0.08766669674434835,1.2623822439144918,0.0031559556097862295,-0.010306076902382048
19740831,1974-08-31,1974,8,Triple Sort rolling TC-aware + stock-level TC,-0.004377732554258837,0.2186750540928375,0.31955332605510045,0.0007988833151377512,-0.0051766158693965884
19740930,1974-09-30,1974,9,Triple Sort rolling TC-aware + stock-level TC,-0.004961841007051245,0.08206482480304618,0.1555005684824264,0.000388751421206066,-0.005350592428257311
19741031,1974-10-31,1974,10,Triple Sort rolling TC-aware + stock-level TC,0.004003980943827844,0.12403267196472836,0.24614975771431577,0.0006153743942857895,0.0033886065495420544
19741130,1974-11-30,1974,11,Triple Sort rolling TC-aware + stock-level TC,-0.02186223386406027,1.7002650316310016e-05,0.1839673646554762,0.0004599184116386905,-0.02232215227569896
19741231,1974-12-31,1974,12,Triple Sort rolling TC-aware + stock-level TC,-0.006106507526238089,0.3478969289248408,0.43278013185016384,0.0010819503296254096,-0.007188457855863499
19750131,1975-01-31,1975,1,Triple Sort rolling TC-aware + stock-level TC,0.023765207392398124,0.1208338912358751,0.2557323435173475,0.0006393308587933688,0.023125876533604754
19750228,1975-02-28,1975,2,Triple Sort rolling TC-aware + stock-level TC,0.0007737734697069415,0.21361843506198203,0.36290893134891933,0.0009072723283722983,-0.00013349885866535682
19750331,1975-03-31,1975,3,Triple Sort rolling TC-aware + stock-level TC,0.009904597205421936,0.06804801877779787,0.1813515965999338,0.0004533789914998345,0.009451218213922101
19750430,1975-04-30,1975,4,Triple Sort rolling TC-aware + stock-level TC,-0.0012015407342956513,4.946159074259717e-06,0.12889247952833052,0.0003222311988208263,-0.0015237719331164775
19750531,1975-05-31,1975,5,Triple Sort rolling TC-aware + stock-level TC,-0.004897509734139837,0.13195280361505757,0.2536634962936316,0.000634158740734079,-0.005531668474873916
19750630,1975-06-30,1975,6,Triple Sort rolling TC-aware + stock-level TC,0.019048934436782905,0.14856675519290158,0.2437932505913636,0.0006094831264784091,0.018439451310304496
19750731,1975-07-31,1975,7,Triple Sort rolling TC-aware + stock-level TC,0.01414240163846631,0.13012843159630097,1.5028235919686543,0.0037570589799216358,0.010385342658544674
19750831,1975-08-31,1975,8,Triple Sort rolling TC-aware + stock-level TC,0.007799089751421476,1.1744016888901697e-06,0.15212681613990692,0.0003803170403497673,0.007418772711071708
19750930,1975-09-30,1975,9,Triple Sort rolling TC-aware + stock-level TC,0.0037931885176193426,6.68533623762968e-07,0.15983608352960105,0.00039959020882400265,0.00339359830879534
19751031,1975-10-31,1975,10,Triple Sort rolling TC-aware + stock-level TC,-0.012601306361816719,4.11425404685832e-07,0.1618096431254246,0.0004045241078135615,-0.01300583046963028
19751130,1975-11-30,1975,11,Triple Sort rolling TC-aware + stock-level TC,0.0016147575156517952,1.0874427856257442e-07,0.19649008887928784,0.0004912252221982196,0.0011235322934535757
