date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
1994-01-31,1994,1,Triple Sort rolling TC-aware + portfolio-level TC,0.04835667572590238,9.130023126413533e-13,9.130023126413533e-13,2.2825057816033835e-15,0.0483566757259001
1994-02-28,1994,2,Triple Sort rolling TC-aware + portfolio-level TC,-0.007335197534907705,9.059905603514551e-13,9.059905603514551e-13,2.264976400878638e-15,-0.0073351975349099695
1994-03-31,1994,3,Triple Sort rolling TC-aware + portfolio-level TC,0.02363448571584203,9.075136475633627e-13,9.075136475633627e-13,2.268784118908407e-15,0.023634485715839763
1994-04-30,1994,4,Triple Sort rolling TC-aware + portfolio-level TC,-0.021712672818737525,9.014525237382998e-13,9.014525237382998e-13,2.2536313093457496e-15,-0.02171267281873978
1994-05-31,1994,5,Triple Sort rolling TC-aware + portfolio-level TC,0.030100584451791697,8.910545912232948e-13,8.910545912232948e-13,2.227636478058237e-15,0.03010058445178947
1994-06-30,1994,6,Triple Sort rolling TC-aware + portfolio-level TC,0.005247534228185472,8.595624212404118e-13,8.595624212404118e-13,2.1489060531010295e-15,0.005247534228183323
1994-07-31,1994,7,Triple Sort rolling TC-aware + portfolio-level TC,0.0029492643657196703,8.580879062858315e-13,8.580879062858315e-13,2.145219765714579e-15,0.002949264365717525
1994-08-31,1994,8,Triple Sort rolling TC-aware + portfolio-level TC,0.03731777671736178,8.582995425499007e-13,8.582995425499007e-13,2.145748856374752e-15,0.037317776717359634
1994-09-30,1994,9,Triple Sort rolling TC-aware + portfolio-level TC,0.008059869090860181,8.558362352140136e-13,8.558362352140136e-13,2.1395905880350343e-15,0.008059869090858042
1994-10-31,1994,10,Triple Sort rolling TC-aware + portfolio-level TC,0.027156417787234304,8.541084506319407e-13,8.541084506319407e-13,2.135271126579852e-15,0.02715641778723217
1994-11-30,1994,11,Triple Sort rolling TC-aware + portfolio-level TC,-0.028508876626956715,8.368063186825481e-13,8.368063186825481e-13,2.09201579670637e-15,-0.028508876626958807
1994-12-31,1994,12,Triple Sort rolling TC-aware + portfolio-level TC,0.009806905362832765,8.337878998343484e-13,8.337878998343484e-13,2.084469749585871e-15,0.00980690536283068
1995-01-31,1995,1,Triple Sort rolling TC-aware + portfolio-level TC,0.04145108121971645,8.281188235148562e-13,8.281188235148562e-13,2.0702970587871404e-15,0.04145108121971438
1995-02-28,1995,2,Triple Sort rolling TC-aware + portfolio-level TC,-0.02149164152501579,8.305751919568394e-13,8.305751919568394e-13,2.0764379798920987e-15,-0.021491641525017865
1995-03-31,1995,3,Triple Sort rolling TC-aware + portfolio-level TC,-0.048663920944004,8.153686059664267e-13,8.153686059664267e-13,2.0384215149160666e-15,-0.04866392094400604
1995-04-30,1995,4,Triple Sort rolling TC-aware + portfolio-level TC,-0.007817216931368963,8.204270596223751e-13,8.204270596223751e-13,2.051067649055938e-15,-0.007817216931371013
1995-05-31,1995,5,Triple Sort rolling TC-aware + portfolio-level TC,0.0009386332003212243,8.15271461451772e-13,8.15271461451772e-13,2.03817865362943e-15,0.0009386332003191861
1995-06-30,1995,6,Triple Sort rolling TC-aware + portfolio-level TC,-0.03491445568736271,8.08766248416859e-13,8.08766248416859e-13,2.0219156210421475e-15,-0.03491445568736473
1995-07-31,1995,7,Triple Sort rolling TC-aware + portfolio-level TC,0.017262863531431437,8.096370796017993e-13,8.096370796017993e-13,2.024092699004498e-15,0.017262863531429414
