date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19940131,1994-01-31,1994,1,S&P 500 (adjusted close),0.03487563043713826,0.0,0.0,0.0,0.03487563043713826,1.0348756304371383,1.0348756304371383,0.0
19940228,1994-02-28,1994,2,S&P 500 (adjusted close),-0.029163684689438973,0.0,0.0,0.0,-0.029163684689438973,1.0046948438582852,1.0046948438582852,-0.029163684689438973
19940331,1994-03-31,1994,3,S&P 500 (adjusted close),-0.04190177833197606,0.0,0.0,0.0,-0.04190177833197606,0.962596343219656,0.962596343219656,-0.06984345277021453
19940430,1994-04-30,1994,4,S&P 500 (adjusted close),0.01121269591004026,0.0,0.0,0.0,0.01121269591004026,0.9733896433002948,0.9733896433002948,-0.059413890257393964
19940531,1994-05-31,1994,5,S&P 500 (adjusted close),0.015939143201991968,0.0,0.0,0.0,0.015939143201991968,0.9889046402161941,0.9889046402161941,-0.04442175356040201
19940630,1994-06-30,1994,6,S&P 500 (adjusted close),-0.022913574658408487,0.0,0.0,0.0,-0.022913574658408487,0.9662452999125537,0.9662452999125537,-0.0663174670521468
19940731,1994-07-31,1994,7,S&P 500 (adjusted close),0.03232603024448011,0.0,0.0,0.0,0.03232603024448011,0.9974801747011137,0.9974801747011137,-0.036135217253331686
19940831,1994-08-31,1994,8,S&P 500 (adjusted close),0.03812052564269264,0.0,0.0,0.0,0.03812052564269264,1.035504643278885,1.035504643278885,0.0
19940930,1994-09-30,1994,9,S&P 500 (adjusted close),-0.02525493865898809,0.0,0.0,0.0,-0.02525493865898809,1.0093530370317794,1.0093530370317794,-0.025254938658988202
19941031,1994-10-31,1994,10,S&P 500 (adjusted close),0.028426459593405173,0.0,0.0,0.0,0.028426459593405173,1.038045370354444,1.038045370354444,0.0
19941130,1994-11-30,1994,11,S&P 500 (adjusted close),-0.03981570235510856,0.0,0.0,0.0,-0.03981570235510856,0.9967148648573131,0.9967148648573131,-0.03981570235510856
19941231,1994-12-31,1994,12,S&P 500 (adjusted close),0.007282719849057706,0.0,0.0,0.0,0.007282719849057706,1.0039736599874602,1.0039736599874602,-0.03282294911189665
19950131,1995-01-31,1995,1,S&P 500 (adjusted close),0.03360714960835964,0.0,0.0,0.0,0.03360714960835964,1.0377143529815112,1.0377143529815112,-0.0003188852649281815
19950228,1995-02-28,1995,2,S&P 500 (adjusted close),0.040810052097477456,0.0,0.0,0.0,0.040810052097477456,1.0800635297889867,1.0800635297889867,0.0
19950331,1995-03-31,1995,3,S&P 500 (adjusted close),0.027847775154084653,0.0,0.0,0.0,0.027847775154084653,1.1101408961186774,1.1101408961186774,0.0
19950430,1995-04-30,1995,4,S&P 500 (adjusted close),0.029622520688779463,0.0,0.0,0.0,0.029622520688779463,1.143026067781413,1.143026067781413,0.0
19950531,1995-05-31,1995,5,S&P 500 (adjusted close),0.039672874946561576,0.0,0.0,0.0,0.039672874946561576,1.188373198029165,1.188373198029165,0.0
19950630,1995-06-30,1995,6,S&P 500 (adjusted close),0.02022983976636028,0.0,0.0,0.0,0.02022983976636028,1.212413797407932,1.212413797407932,0.0
19950731,1995-07-31,1995,7,S&P 500 (adjusted close),0.03216504526705721,0.0,0.0,0.0,0.03216504526705721,1.2514111420839629,1.2514111420839629,0.0
19950831,1995-08-31,1995,8,S&P 500 (adjusted close),0.004452393628435081,0.0,0.0,0.0,0.004452393628435081,1.2569829170795301,1.2569829170795301,0.0
19950930,1995-09-30,1995,9,S&P 500 (adjusted close),0.04237618905528717,0.0,0.0,0.0,0.04237618905528717,1.3102490628129586,1.3102490628129586,0.0
19951031,1995-10-31,1995,10,S&P 500 (adjusted close),-0.0029392521324865806,0.0,0.0,0.0,-0.0029392521324865806,1.306397910460997,1.306397910460997,-0.0029392521324865806
19951130,1995-11-30,1995,11,S&P 500 (adjusted close),0.04448052243858891,0.0,0.0,0.0,0.04448052243858891,1.3645071720309832,1.3645071720309832,0.0
19951231,1995-12-31,1995,12,S&P 500 (adjusted close),0.015732948676625558,0.0,0.0,0.0,0.015732948676625558,1.385974893337434,1.385974893337434,0.0
19960131,1996-01-31,1996,1,S&P 500 (adjusted close),0.03557788043741783,0.0,0.0,0.0,0.03557788043741783,1.4352849423818563,1.4352849423818563,0.0
19960229,1996-02-29,1996,2,S&P 500 (adjusted close),0.0031903670272175333,0.0,0.0,0.0,0.0031903670272175333,1.4398640281366932,1.4398640281366932,0.0
19960331,1996-03-31,1996,3,S&P 500 (adjusted close),0.017218375743504044,0.0,0.0,0.0,0.017218375743504044,1.464656147992706,1.464656147992706,0.0
19960430,1996-04-30,1996,4,S&P 500 (adjusted close),0.010868879039632517,0.0,0.0,0.0,0.010868879039632517,1.4805753184998929,1.4805753184998929,0.0
19960531,1996-05-31,1996,5,S&P 500 (adjusted close),0.022700771531924957,0.0,0.0,0.0,0.022700771531924957,1.514185520540966,1.514185520540966,0.0
19960630,1996-06-30,1996,6,S&P 500 (adjusted close),0.008821697622236835,0.0,0.0,0.0,0.008821697622236835,1.5275432073471478,1.5275432073471478,0.0
19960731,1996-07-31,1996,7,S&P 500 (adjusted close),-0.04493574329817018,0.0,0.0,0.0,-0.04493574329817018,1.4589019179049327,1.4589019179049327,-0.04493574329817018
19960831,1996-08-31,1996,8,S&P 500 (adjusted close),0.01925875368498975,0.0,0.0,0.0,0.01925875368498975,1.486998550592423,1.486998550592423,-0.02654239602501185
19960930,1996-09-30,1996,9,S&P 500 (adjusted close),0.05587244171933414,0.0,0.0,0.0,0.05587244171933414,1.5700807904471326,1.5700807904471326,0.0
19961031,1996-10-31,1996,10,S&P 500 (adjusted close),0.03233128055068102,0.0,0.0,0.0,0.03233128055068102,1.6208435129703138,1.6208435129703138,0.0
19961130,1996-11-30,1996,11,S&P 500 (adjusted close),0.07300369808674723,0.0,0.0,0.0,0.07300369808674723,1.7391710834370613,1.7391710834370613,0.0
19961231,1996-12-31,1996,12,S&P 500 (adjusted close),-0.023796951155950263,0.0,0.0,0.0,-0.023796951155950263,1.6977841141126684,1.6977841141126684,-0.023796951155950263
19970131,1997-01-31,1997,1,S&P 500 (adjusted close),0.061785260523583796,0.0,0.0,0.0,0.061785260523583796,1.8026821479159216,1.8026821479159216,0.0
19970228,1997-02-28,1997,2,S&P 500 (adjusted close),0.009566290892477625,0.0,0.0,0.0,0.009566290892477625,1.8199271297295616,1.8199271297295616,0.0
19970331,1997-03-31,1997,3,S&P 500 (adjusted close),-0.04412327341883504,0.0,0.0,0.0,-0.04412327341883504,1.7396259873821485,1.7396259873821485,-0.04412327341883504
19970430,1997-04-30,1997,4,S&P 500 (adjusted close),0.06260383360057187,0.0,0.0,0.0,0.06260383360057187,1.848533243223451,1.848533243223451,0.0
19970531,1997-05-31,1997,5,S&P 500 (adjusted close),0.06320776636577152,0.0,0.0,0.0,0.06320776636577152,1.9653749005804808,1.9653749005804808,0.0
19970630,1997-06-30,1997,6,S&P 500 (adjusted close),0.04110201424086579,0.0,0.0,0.0,0.04110201424086579,2.0461557677327797,2.0461557677327797,0.0
19970731,1997-07-31,1997,7,S&P 500 (adjusted close),0.07926398749439323,0.0,0.0,0.0,0.07926398749439323,2.208342232917931,2.208342232917931,0.0
19970831,1997-08-31,1997,8,S&P 500 (adjusted close),-0.051803661595289485,0.0,0.0,0.0,-0.051803661595289485,2.093942019197265,2.093942019197265,-0.051803661595289374
19970930,1997-09-30,1997,9,S&P 500 (adjusted close),0.048090958963211694,0.0,0.0,0.0,0.048090958963211694,2.1946416989138253,2.1946416989138253,-0.006203990396000836
19971031,1997-10-31,1997,10,S&P 500 (adjusted close),-0.024503609233813006,0.0,0.0,0.0,-0.024503609233813006,2.1408650563154095,2.1408650563154095,-0.030555579473459882
19971130,1997-11-30,1997,11,S&P 500 (adjusted close),0.03869680017986066,0.0,0.0,0.0,0.03869680017986066,2.223709683611693,2.223709683611693,0.0
19971231,1997-12-31,1997,12,S&P 500 (adjusted close),0.01907153619486124,0.0,0.0,0.0,0.01907153619486124,2.2661192433295567,2.2661192433295567,0.0
19980131,1998-01-31,1998,1,S&P 500 (adjusted close),0.012878130755542117,0.0,0.0,0.0,0.012878130755542117,2.295302623252805,2.295302623252805,0.0
19980228,1998-02-28,1998,2,S&P 500 (adjusted close),0.06929478641900078,0.0,0.0,0.0,0.06929478641900078,2.4543551282980802,2.4543551282980802,0.0
19980331,1998-03-31,1998,3,S&P 500 (adjusted close),0.048784099688732985,0.0,0.0,0.0,0.048784099688732985,2.5740886335485267,2.5740886335485267,0.0
