date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
1974-01-31,1974,1,Triple Sort rolling TC-aware + portfolio-level TC,-0.04052698396561954,1.296009133344711e-11,1.296009133344711e-11,3.2400228333617774e-14,-0.040526983965651936
1974-02-28,1974,2,Triple Sort rolling TC-aware + portfolio-level TC,-0.0696866234011013,1.3541567173147584e-11,1.3541567173147584e-11,3.385391793286896e-14,-0.06968662340113514
1974-03-31,1974,3,Triple Sort rolling TC-aware + portfolio-level TC,-0.02361708953347844,1.5579464801573906e-11,1.5579464801573906e-11,3.8948662003934764e-14,-0.023617089533517387
1974-04-30,1974,4,Triple Sort rolling TC-aware + portfolio-level TC,-0.0673161542686557,1.719452011328393e-11,1.719452011328393e-11,4.2986300283209823e-14,-0.06731615426869868
1974-05-31,1974,5,Triple Sort rolling TC-aware + portfolio-level TC,-0.069923145473802,2.2728090243173682e-11,2.2728090243173682e-11,5.6820225607934207e-14,-0.06992314547385882
1974-06-30,1974,6,Triple Sort rolling TC-aware + portfolio-level TC,-0.029416717586142994,2.858760450585862e-11,2.858760450585862e-11,7.146901126464656e-14,-0.029416717586214464
1974-07-31,1974,7,Triple Sort rolling TC-aware + portfolio-level TC,0.10047134270156947,3.0957177793444757e-11,3.0957177793444757e-11,7.73929444836119e-14,0.10047134270149208
1974-08-31,1974,8,Triple Sort rolling TC-aware + portfolio-level TC,-0.04712744624317655,5.979035669345656e-11,5.979035669345656e-11,1.494758917336414e-13,-0.04712744624332603
1974-09-30,1974,9,Triple Sort rolling TC-aware + portfolio-level TC,0.07339894865969376,7.071550636728041e-11,7.071550636728041e-11,1.7678876591820104e-13,0.07339894865951697
1974-10-31,1974,10,Triple Sort rolling TC-aware + portfolio-level TC,-0.0014479079948127413,8.084708943978391e-11,8.084708943978391e-11,2.0211772359945978e-13,-0.001447907995014859
1974-11-30,1974,11,Triple Sort rolling TC-aware + portfolio-level TC,-0.16422686185911436,7.944328875297835e-11,7.944328875297835e-11,1.9860822188244587e-13,-0.16422686185931298
1974-12-31,1974,12,Triple Sort rolling TC-aware + portfolio-level TC,-0.012976739768827253,1.9694433930905753e-10,1.9694433930905753e-10,4.923608482726438e-13,-0.012976739769319614
