date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
19730131,1974-01-31,1974,1,AP-Trees rolling TC-aware + portfolio-level TC,-0.03052160801650349,2.7122867536991113e-10,2.7122867536991113e-10,6.780716884247778e-13,-0.030521608017181564
19730228,1974-02-28,1974,2,AP-Trees rolling TC-aware + portfolio-level TC,-0.06051236631309733,2.5565059357662845e-10,2.5565059357662845e-10,6.391264839415711e-13,-0.06051236631373646
19730330,1974-03-31,1974,3,AP-Trees rolling TC-aware + portfolio-level TC,-0.018776622537227478,2.962571443590814e-10,2.962571443590814e-10,7.406428608977035e-13,-0.01877662253796812
19730430,1974-04-30,1974,4,AP-Trees rolling TC-aware + portfolio-level TC,-0.05907314378229464,3.2420981448556124e-10,3.2420981448556124e-10,8.105245362139031e-13,-0.059073143783105166
19730531,1974-05-31,1974,5,AP-Trees rolling TC-aware + portfolio-level TC,-0.06294901786961837,4.098913318137387e-10,4.098913318137387e-10,1.0247283295343469e-12,-0.0629490178706431
19730629,1974-06-30,1974,6,AP-Trees rolling TC-aware + portfolio-level TC,-0.023720037241507386,5.204969621541017e-10,5.204969621541017e-10,1.3012424053852542e-12,-0.02372003724280863
19730731,1974-07-31,1974,7,AP-Trees rolling TC-aware + portfolio-level TC,0.09935735543194014,5.446484223911932e-10,5.446484223911932e-10,1.361621055977983e-12,0.09935735543057853
19730831,1974-08-31,1974,8,AP-Trees rolling TC-aware + portfolio-level TC,-0.03722036132340478,8.94001656666539e-10,8.94001656666539e-10,2.2350041416663476e-12,-0.037220361325639786
19730928,1974-09-30,1974,9,AP-Trees rolling TC-aware + portfolio-level TC,0.07666994620634113,1.0223666741752263e-09,1.0223666741752263e-09,2.5559166854380657e-12,0.07666994620378521
19731031,1974-10-31,1974,10,AP-Trees rolling TC-aware + portfolio-level TC,0.0011605308807126017,1.1049609353582304e-09,1.1049609353582304e-09,2.7624023383955763e-12,0.0011605308779501994
19731130,1974-11-30,1974,11,AP-Trees rolling TC-aware + portfolio-level TC,-0.1561617943167706,1.1071967918234796e-09,1.1071967918234796e-09,2.767991979558699e-12,-0.15616179431953858
19731231,1974-12-31,1974,12,AP-Trees rolling TC-aware + portfolio-level TC,-0.008151539870889849,2.473673286606387e-09,2.473673286606387e-09,6.184183216515968e-12,-0.008151539877074033
19740131,1975-01-31,1975,1,AP-Trees rolling TC-aware + portfolio-level TC,0.08453405713081746,2.730542502825048e-09,2.730542502825048e-09,6.82635625706262e-12,0.0845340571239911
19740228,1975-02-28,1975,2,AP-Trees rolling TC-aware + portfolio-level TC,0.007559746856610963,5.6626762156295266e-09,5.6626762156295266e-09,1.4156690539073817e-11,0.007559746842454272
19740329,1975-03-31,1975,3,AP-Trees rolling TC-aware + portfolio-level TC,-0.00950648650703785,5.6480858905876355e-09,5.6480858905876355e-09,1.412021472646909e-11,-0.009506486521158066
19740430,1975-04-30,1975,4,AP-Trees rolling TC-aware + portfolio-level TC,-0.049036065233924106,5.394471219006235e-09,5.394471219006235e-09,1.3486178047515586e-11,-0.04903606524741028
19740531,1975-05-31,1975,5,AP-Trees rolling TC-aware + portfolio-level TC,-0.06604892363320163,5.638278494698307e-09,5.638278494698307e-09,1.4095696236745767e-11,-0.06604892364729732
