date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19730228,1974-02-28,1974,2,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.07966022139399688,1.8839096949108125e-14,1.8839096949108125e-14,1.8839096949108125e-14,,4.7097742372770316e-17,-0.07966022139399692
19730330,1974-03-31,1974,3,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.027458999013011322,0.0,0.0,0.0,,0.0,-0.027458999013011322
19730430,1974-04-30,1974,4,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.07307963648008611,1.124100812432971e-14,1.124100812432971e-14,1.124100812432971e-14,,2.8102520310824274e-17,-0.07307963648008614
19730531,1974-05-31,1974,5,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.09346705855394752,3.730349362740526e-14,3.730349362740526e-14,3.730349362740526e-14,,9.325873406851315e-17,-0.09346705855394762
19730629,1974-06-30,1974,6,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.03161119604381858,1.3947176746853529e-14,1.3947176746853529e-14,1.3947176746853529e-14,,3.4867941867133825e-17,-0.031611196043818617
19730731,1974-07-31,1974,7,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",0.143540173670839,2.2024049251001543e-14,2.2024049251001543e-14,2.2024049251001543e-14,,5.506012312750386e-17,0.14354017367083893
19730831,1974-08-31,1974,8,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.0634396721268565,1.7007228958476617e-14,1.7007228958476617e-14,1.7007228958476617e-14,,4.2518072396191545e-17,-0.06343967212685654
19730928,1974-09-30,1974,9,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",0.09193854131619653,1.619537837171947e-14,1.619537837171947e-14,1.619537837171947e-14,,4.048844592929868e-17,0.09193854131619648
19731031,1974-10-31,1974,10,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",0.005334545568562858,2.0816681711721685e-16,2.0816681711721685e-16,2.0816681711721685e-16,,5.204170427930421e-19,0.005334545568562857
19731130,1974-11-30,1974,11,"AP-Trees rolling TC-aware (portfolio-level TC, lagged trade)",-0.19517546212836223,6.286637876939949e-15,6.286637876939949e-15,6.286637876939949e-15,,1.5716594692349873e-17,-0.19517546212836226
