,HEDG_LOSHO,,
,"HedgeIndex Long/Short Equity Main Index",,
Date,CCY,NAV,ROR
2026-03-31,USD,1266.91,-3.48%
2026-02-28,USD,1312.59,2.86%
2026-01-31,USD,1276.13,0.99%
2025-12-31,USD,1263.57,0.9%
2025-11-30,USD,1252.28,1.97%
2025-10-31,USD,1228.04,-0.63%
2025-09-30,USD,1235.84,0.63%
2025-08-31,USD,1228.08,2.06%
2025-07-31,USD,1203.32,1.13%
2025-06-30,USD,1189.89,1.48%
2025-05-31,USD,1172.52,3.63%
2025-04-30,USD,1131.46,1%
2025-03-31,USD,1120.21,-1.82%
2025-02-28,USD,1140.97,-0.8%
2025-01-31,USD,1150.15,3.35%
2024-12-31,USD,1112.84,-1.29%
2024-11-30,USD,1127.35,2.4%
2024-10-31,USD,1100.92,-0.49%
2024-09-30,USD,1106.38,1.64%
2024-08-31,USD,1088.56,1.3%
2024-07-31,USD,1074.54,0.33%
2024-06-30,USD,1070.96,1.54%
2024-05-31,USD,1054.7,2.23%
2024-04-30,USD,1031.67,-0.29%
2024-03-31,USD,1034.67,1.15%
2024-02-29,USD,1022.88,3.02%
2024-01-31,USD,992.92,2.41%
2023-12-31,USD,969.56,0.84%
2023-11-30,USD,961.51,3.72%
2023-10-31,USD,927,-0.4%
2023-09-30,USD,930.74,-0.88%
2023-08-31,USD,938.99,-0.04%
2023-07-31,USD,939.36,1.29%
2023-06-30,USD,927.4,1.57%
2023-05-31,USD,913.04,0.01%
2023-04-30,USD,912.98,0.41%
2023-03-31,USD,909.26,1.6%
2023-02-28,USD,894.94,-0.87%
2023-01-31,USD,902.82,3.29%
2022-12-31,USD,874.04,0.19%
2022-11-30,USD,872.41,3.68%
2022-10-31,USD,841.42,1.67%
2022-09-30,USD,827.61,-2.74%
2022-08-31,USD,850.94,-1.32%
2022-07-31,USD,862.3,1.24%
2022-06-30,USD,851.7,-2.77%
2022-05-31,USD,875.92,-0.46%
2022-04-30,USD,879.97,-1.84%
2022-03-31,USD,896.48,0.51%
2022-02-28,USD,891.94,-1.44%
2022-01-31,USD,905.01,-2.43%
2021-12-31,USD,927.52,2.99%
2021-11-30,USD,900.63,-2.98%
2021-10-31,USD,928.33,2.2%
2021-09-30,USD,908.31,-1.54%
2021-08-31,USD,922.51,0.88%
2021-07-31,USD,914.42,1.44%
2021-06-30,USD,901.4,-0.65%
2021-05-31,USD,907.27,0.42%
2021-04-30,USD,903.47,3.1%
2021-03-31,USD,876.34,0.74%
2021-02-28,USD,869.93,4.55%
2021-01-31,USD,832.08,-2.8%
2020-12-31,USD,856.05,4.15%
2020-11-30,USD,821.96,4%
2020-10-31,USD,790.31,-0.63%
2020-09-30,USD,795.3,-1.5%
2020-08-31,USD,807.41,2.67%
2020-07-31,USD,786.45,1.6%
2020-06-30,USD,774.04,1.11%
2020-05-31,USD,765.52,4.08%
2020-04-30,USD,735.51,4.32%
2020-03-31,USD,705.04,-7.41%
2020-02-29,USD,761.44,-3.3%
2020-01-31,USD,787.4,-0.79%
2019-12-31,USD,793.68,2.31%
2019-11-30,USD,775.76,1.31%
2019-10-31,USD,765.76,1.36%
2019-09-30,USD,755.47,-0.12%
2019-08-31,USD,756.41,-0.5%
2019-07-31,USD,760.2,0.73%
2019-06-30,USD,754.71,1.82%
2019-05-31,USD,741.19,-2.36%
2019-04-30,USD,759.11,1.84%
2019-03-31,USD,745.42,0.3%
2019-02-28,USD,743.19,1.45%
2019-01-31,USD,732.59,3.53%
2018-12-31,USD,707.58,-2.46%
2018-11-30,USD,725.46,0.17%
2018-10-31,USD,724.21,-4.48%
2018-09-30,USD,758.17,0.06%
2018-08-31,USD,757.74,0.05%
2018-07-31,USD,757.37,1.43%
2018-06-30,USD,746.7,-0.99%
